au-name	bgrf	author_wikidata
Pigault-Lebrun	00.120	http://www.wikidata.org/entity/Q3388279
Alexandre Le Riche de La Poupelinière	60.21	http://www.wikidata.org/entity/Q2720200
Antoine François Prévost	60.28	http://www.wikidata.org/entity/Q311480
Puget de Saint-Pierre	61.17	
Jean Vesque de Puttelange	91.44	http://www.wikidata.org/entity/Q22020535
Jacques Salbigoton Quesné	00.127	http://www.wikidata.org/entity/Q3159956
Nicolas-Edme Rétif	98.84	http://www.wikidata.org/entity/Q732729
Nicolas-Edme Rétif	76.44	http://www.wikidata.org/entity/Q732729
Nicolas-Edme Rétif	84.58	http://www.wikidata.org/entity/Q732729
Nicolas-Edme Rétif	83.48	http://www.wikidata.org/entity/Q732729
Nicolas-Edme Rétif	79.31	http://www.wikidata.org/entity/Q732729
Jacques-Antoine de Révérony Saint-Cyr	98.85	http://www.wikidata.org/entity/Q3157878
Marie Jeanne Riccoboni	65.40	http://www.wikidata.org/entity/Q3087936
Marie Jeanne Riccoboni	58.17	http://www.wikidata.org/entity/Q3087936
Marie Jeanne Riccoboni	59.22	http://www.wikidata.org/entity/Q3087936
Marie Jeanne Riccoboni	67.44	http://www.wikidata.org/entity/Q3087936
Marie Jeanne Riccoboni	57.12	http://www.wikidata.org/entity/Q3087936
Marie Jeanne Riccoboni	64.39	http://www.wikidata.org/entity/Q3087936
Marie Jeanne Riccoboni	77.57	http://www.wikidata.org/entity/Q3087936
Louis Ripault	97.61	http://www.wikidata.org/entity/Q3263019
Joseph Rosny	98.88	http://www.wikidata.org/entity/Q52149410
Jean-Jacques Rousseau	62.33	http://www.wikidata.org/entity/Q6527
Jean-Jacques Rousseau	61.18	http://www.wikidata.org/entity/Q6527
Jean-Jacques Rousseau	58.18	http://www.wikidata.org/entity/Q6527
Claude Louis Michel de Sacy	61.19	http://www.wikidata.org/entity/Q1096895
Marquis de Sade	95.36	http://www.wikidata.org/entity/Q123867
Marquis de Sade	00.135	http://www.wikidata.org/entity/Q123867
Marquis de Sade	91.42	http://www.wikidata.org/entity/Q123867
Marquis de Sade	95.37	http://www.wikidata.org/entity/Q123867
Bernard-Joseph Saurin	54.31	http://www.wikidata.org/entity/Q822205
Joseph Alexandre Pierre de Ségur	89.104	http://www.wikidata.org/entity/Q321684
Gabriel Sénac de Meilhan	97.74	http://www.wikidata.org/entity/Q3093966
Adélaïde Filleul Marquise de Souza-Botelho	94.13	http://www.wikidata.org/entity/Q589562
Adélaïde Filleul Marquise de Souza-Botelho	99.167	http://www.wikidata.org/entity/Q589562
Charles-François Tiphaigne de la Roche	53.33	http://www.wikidata.org/entity/Q2958070
Charles-François Tiphaigne de la Roche	65.50	http://www.wikidata.org/entity/Q2958070
Louis-Élisabeth de La Vergne de Tressan	80.32	http://www.wikidata.org/entity/Q219622
Louis-Élisabeth de La Vergne de Tressan	80.33	http://www.wikidata.org/entity/Q219622
Gabrielle-Suzanne de Villeneuve	68.54	http://www.wikidata.org/entity/Q469944
Claude-Henri de Fusée de Voisenon	51.42	http://www.wikidata.org/entity/Q2976734
Voltaire	69.69	http://www.wikidata.org/entity/Q9068
Voltaire	61.26	http://www.wikidata.org/entity/Q9068
Voltaire	59.25	http://www.wikidata.org/entity/Q9068
Voltaire	56.32	http://www.wikidata.org/entity/Q9068
Voltaire	75.43	http://www.wikidata.org/entity/Q9068
Voltaire	68.55	http://www.wikidata.org/entity/Q9068
Voltaire	67.52	http://www.wikidata.org/entity/Q9068
Voltaire	75.44	http://www.wikidata.org/entity/Q9068
Voltaire	52.43	http://www.wikidata.org/entity/Q9068
Voltaire	75.46	http://www.wikidata.org/entity/Q9068
Voltaire	68.56	http://www.wikidata.org/entity/Q9068
Voltaire	56.32	http://www.wikidata.org/entity/Q9068
Voltaire	56.32	http://www.wikidata.org/entity/Q9068
Voltaire	74.33	http://www.wikidata.org/entity/Q9068
