filename	title_to_altLabel	token count	bgrf	title_wikidata	lang	full_work_non_modernized
Lagrave_Sophie	Sophie de Beauregard, ou Le véritable amour	57937	99.104	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Lagrave_Sophie.txt
Lagrave_Zabeth	Zabeth, ou la Victime de l'ambition	73670	99.105	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Lagrave_Zabeth.txt
Laveaux_Eusebe	Eusèbe, ou les Beaux profits de la vertu dans le siècle où nous vivons	29867	85.33	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Laveaux_Eusebe.txt
Leonard_Clementine	La Nouvelle Clémentine	13554	74.20	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Leonard_Clementine.txt
Leonard_Lettres	Lettres de deux amants habitants de Lyon	66100	83.31	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Leonard_Lettres.txt
Lesuire_Aventurier	L'Aventurier François	217961	82.27	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Lesuire_Aventurier.txt
Lesuire_Crime	Le crime	180540	89.81	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Lesuire_Crime.txt
Linguet_Voyage	Voyage au labirinthe du jardin du roi	2492	55.27	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Linguet_Voyage.txt
Loaisel_Ainsi	Ainsi finissent les grandes passions	69753	87.54bis	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Loaisel_Ainsi.txt
Loaisel_Comtesse	La Comtesse d'Alibre	31565	79.22	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Loaisel_Comtesse.txt
Loaisel_Dolbreuse	Dolbreuse ou l'Homme du siècle ramené à la vérité par le sentiment et la raison	65768	83.33	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Loaisel_Dolbreuse.txt
Louvet_Annee	Une année dans la vie du chevalier de Faublas	119518	87.56	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Louvet_Annee.txt
Louvet_Fin	La Fin des amours de Faublas	72785	90.47	Q91971388	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Louvet_Fin.txt
Luchet_Vicomte	Le Vicomte de Barjac	34149	84.39	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Luchet_Vicomte.txt
Maistre_Voyage	Voyage autour de ma chambre	19704	94.8	Q10392559	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Maistre_Voyage.txt
Malarme_Rose	Anna Rose-Tree	84738	83.35	Q75936689	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Malarme_Rose.txt
Marchadier_Isle	L'isle de France ou la nouvelle colonie de Vénus	14702	52.32	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Marchadier_Isle.txt
Marchand_Avis	Les avis d'un père à son fils	19081	51.37	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Marchand_Avis.txt
Marmontel_Belisaire	Bélisaire	44240	67.39	Q5005038	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Marmontel_Belisaire.txt
Marmontel_Contes	Contes moraux	130234	61.12	Q107289374	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Marmontel_Contes.txt
Marmontel_Dejeunes	Les Déjeunés du village	15408	91.35	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Marmontel_Dejeunes.txt
Marmontel_Incas	Les Incas ou la destruction de l'empire du Pérou	109922	77.50	Q106889862	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Marmontel_Incas.txt
Maubert_Paisan	L'illustre païsan ou mémoires et avantures de Daniel Moginié	55774	54.28	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Maubert_Paisan.txt
Merard_Bergeries	Bergeries et opuscules de Mlle d'Ormoy l'aînée	19894	84.43	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Merard_Bergeries.txt
Mercier_An	L'An deux mille quatre cent quarante	68158	71.36	Q82530	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Mercier_An.txt
Mercier_Jezennemours	Jezennemours	78874	76.36	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Mercier_Jezennemours.txt
Mercier_Songes	Songes philosophiques	64765	68.42	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Mercier_Songes.txt
Mirabeau_Conversion	Ma Conversion ou le Libertin de qualité	39962	83.40	Q79219189	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Mirabeau_Conversion.txt
Mirabeau_Rideau	Le Rideau levé ou l'éducation de Laure	43539	86.51	Q19198685	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Mirabeau_Rideau.txt
Montdorge_Nadir	Nadir, histoire orientale	26454	69.36	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Montdorge_Nadir.txt
Montesquieu_Arsace	Arsace et Isménie : histoire orientale	14230	83.42	Q19132875	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Montesquieu_Arsace.txt
Moreau_Memoire	Nouveau mémoire pour servir à l'histoire des Cacouacs	11815	57.10	Q15891964	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Moreau_Memoire.txt
Morelly_Naufrage	Naufrage des Iles Flottantes	99912	53.26	Q56391765	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Morelly_Naufrage.txt
Morliere_Royalisme	Le royalisme	19394	70.56	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Morliere_Royalisme.txt
Mouhy_Opuscule	Opuscule d'un célèbre auteur égyptien	5306	52.35	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Mouhy_Opuscule.txt
Nerciat_Aphrodites	Les Aphrodites	110529	93.16	Q3230640	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Nerciat_Aphrodites.txt
Nerciat_Doctorat	Le Doctorat impromptu	15510	88.94	Q3222382	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Nerciat_Doctorat.txt
Nerciat_Etourdi	L'Étourdi	45516	84.50	Q72005582	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Nerciat_Etourdi.txt
Nerciat_Felicia	Félicia ou mes Fredaines	100569	75.37	Q20725904	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Nerciat_Felicia.txt
Nerciat_Monrose	Monrose ou le Libertin par fatalité	163436	92.34	Q72146509	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Nerciat_Monrose.txt
