P13				P8	check		1P8	1check		2P8	2check		3P8	3check		4P8	4check	5P8	5check		P43
update																				
P13	check	Column	Column2	pl_copy 1 1	pl_copy 1 1 ID	coordonnées géographiques2	pl_copy 1 2	pl_copy 1 2 ID	coordonnées géographiques	pl_copy 1 3	pl_copy 1 3 ID	coordonnées géographiques3	pl_copy 2 1	pl_copy 2 1 ID	coordonnées géographiques4	pl_copy 2 2	pl_copy 2 2 ID	pl_copy 3	pl_copy 3 ID	coordonnées géographiques5	P43
51.13			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
51.14			Au Parnasse	Au Parnasse																	par les libraires associés
51.15																					
51.16	m		Livourne	Livourne	https://www.wikidata.org/wiki/Q6761	43.55,10.316666666667															Imprimerie française
51.17	t		Lampsaque	Lampsaque	https://www.wikidata.org/wiki/Q1229422	40.343889,26.683611															
51.18	m		Cologne	Cologne	https://www.wikidata.org/wiki/Q365	50.942222222222,6.9577777777778															Pierre Marteau
51.19	[51.19]																				
51.2	m																				
51.20			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
51.21			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															Pierre Confolk
51.22																					
51.23			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
51.24			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
51.25			Londres & Paris	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275				Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									Bauche fils
51.26	t		Londres & Paris	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275				Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									Rollin fils, Prault fils
51.27			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Rollin fils
51.28	mt		Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
51.29	t		Berlin	Berlin	https://www.wikidata.org/wiki/Q64	52.516666666667,13.383333333333															
51.3			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
51.30	m		Villemanie	Villemanie																	chez Philarithmus, à la Justice
51.31			[non déclaré]	[non déclaré]																	
51.32			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															Aux dépens de la Compagnie
51.33			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
51.34			Amsterdam & Paris	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9				Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									Jean-François Jolly, veuve Pissot
51.35			Quiloa	Kilwa Kisiwani	https://www.wikidata.org/wiki/Q1741475																
51.36			La Mecque	La Mecque	https://www.wikidata.org/wiki/Q5806	21.4225,39.826111111111															aux dépens des pèlerins
51.37			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
51.38			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
51.39			Berlin	Berlin	https://www.wikidata.org/wiki/Q64	52.516666666667,13.383333333333															à l’enseigne du roi philosophe
51.4			Rouen	Rouen	https://www.wikidata.org/wiki/Q30974	49.443055555556,1.1025															Pierre Seyer
51.40	t		Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															J. Nourse
51.41			La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															Jacques Neaulme
51.5			Equivopolis	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																
51.6	m																				
51.7			En Phrigie	Phrygie	https://www.wikidata.org/wiki/Q32579	39,31															chez Esope, à l’enseigne de la Vérité
51.8			La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															
51.9			Avignon	Avignon	https://www.wikidata.org/wiki/Q6397	43.948611111111,4.8083333333333															Girard
52.1	t		Milan	Milan	https://www.wikidata.org/wiki/Q490	45.466944444444,9.19															Reycands et Colomb
52.10	nt		Cologne	Cologne	https://www.wikidata.org/wiki/Q365	50.942222222222,6.9577777777778															
52.11			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
52.12			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
52.13			Amsterdam & Châtelain	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9				Châtelain	https://www.wikidata.org/wiki/Q1163694	47.808333333333,-0.59555555555556									L’Honoré
52.14																					
52.15			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Desaint, Saillant, Durand, Le Prieur, & Rouen, L’Allemant
52.16																					
52.17			Babylone	Babylone	https://www.wikidata.org/wiki/Q5684	32.541780555556,44.431644444444															de l’imprimerie royale
52.18			A Goa	Goa	https://www.wikidata.org/wiki/Q1171	15.401944,74.043333															par exprès commandement de l’empereur
52.19			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
52.2			Lampsaque	Lampsaque	https://www.wikidata.org/wiki/Q1229422	40.343889,26.683611															
52.20	m		Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
52.21	t		Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															Marc Michel Rey
52.22	nt		La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															
52.23			Imprimés à Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
52.24	n		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Paulus-Du-Mesnil et veuve Pissot
52.25	m		La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															de Hondt
52.26			Londres & Paris	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275				Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									Rollin
52.27			Londres & Paris	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275				Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									Rollin
52.28			La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															Pierre de Hondt
52.29			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															Clément
52.3			La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															Pierre Van Cleef
52.30	c		Berlin	Berlin	https://www.wikidata.org/wiki/Q64	52.516666666667,13.383333333333															
52.31			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Bauche fils
52.32			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															Arkstée et Merkus
52.33			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															
52.34	m		A Irocopolis	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																chez les Vénérables
52.35			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
52.36			Paphos	Paphos	https://www.wikidata.org/wiki/Q180918	34.77612852,32.42651039															
52.37	n		Genève	Genève	https://www.wikidata.org/wiki/Q71	46.2,6.15															Barillot et fils
52.38	n		Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															Jean Frédéric Bernard
52.39	m																				
52.4			Kanton	Canton	https://www.wikidata.org/wiki/Q16572																
52.40			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
52.41			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															
52.42			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															Jean Nourse
52.5	*		Tunis	Tunis	https://www.wikidata.org/wiki/Q3572	36.800833333333,10.18															
52.6	n																				
52.7																					Mornet
52.8	c		La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	52.08,4.31															Pierre van Cleef
52.9			A l’Orient	Orient	https://www.wikidata.org/wiki/Q205653																aux dépens de la Compagnie
