FR	EN	DE		P30	P58						P30RP14	P58RP14	P2	P2RP14	P25
clergé	clergy	Klerus	Q177826	https://www.wikidata.org/wiki/Q177826		Clergé	clergy	Klerus	DEL	exact match					
collectivisme	collectivism	Kollektivismus	Q237789		https://www.wikidata.org/wiki/Q237789	collectivisme politique	collectivism	Kollektivismus	Seklit	close match	#	Q19			
colonialisme	colonialism	Kolonialismus	Q7167	https://www.wikidata.org/wiki/Q7167		Colonialisme	colonialism	Kolonialismus	DEL	exact match					
colportage	colportage	Kolportage	Q154273	https://www.wikidata.org/wiki/Q154273		colportage	colportage	Kolportage	DEL	exact match					
comédie	comedy	Komödie	Q40831	https://www.wikidata.org/wiki/Q40831		Comédie	comedy	Komödie	DEL	exact match					
Commedia dell'arte	Commedia dell'arte	Commedia dell’arte	Q191890	https://www.wikidata.org/wiki/Q191890		Commedia dell'arte	Commedia dell'arte	Commedia dell’arte	DEL	exact match					
commerce	commerce	Handel	Q26643		https://www.wikidata.org/wiki/Q26643	Commerce	commerce	Kommerz	DEL	close match	#	Q19			
communauté	community	Gemeinschaft	Q177634	https://www.wikidata.org/wiki/Q177634		communauté	community	Gemeinschaft	Seklit	exact match					
confrérie	confraternity	Bruderschaft	Q992253	https://www.wikidata.org/wiki/Q992253		confrérie	confraternity	Bruderschaft	DEL	exact match					
conte	conte	Erzählung	Q7679101		https://www.wikidata.org/wiki/Q7679101	conte écrit	conte	Conte	DEL	close match	#	Q19			
conte merveilleux/de fées	fairy tale	Märchen	Q699		https://www.wikidata.org/wiki/Q699	conte merveilleux	fairy tale	Märchen	BGRF	close match	#	Q19			
contingence	contingency	Kontingenz	Q1359069	https://www.wikidata.org/wiki/Q1359069		contingence	contingency	Kontingenz	DEL	exact match					
Contrat social	social contract	Sozialvertrag	Q1326430	https://www.wikidata.org/wiki/Q1326430		contrat coscial	social contract	Sozialvertrag	DEL	exact match					
contre-révolution	counter-revolution	Gegenrevolution	Q755138		https://www.wikidata.org/wiki/Q755138	Contre-révolution	counter-revolution	Konterrevolution	DEL	close match	#	Q19			
conversation	conversation	Konversation	Q52943	https://www.wikidata.org/wiki/Q52943		conversation	conversation	Konversation	DEL	exact match					
conversion religieuse	religious conversion	Konversion	Q904756	https://www.wikidata.org/wiki/Q904756		conversion religieuse	religious conversion	Konversion	Seklit	exact match					
corporation	corporation	Zunft	Q170161		https://www.wikidata.org/wiki/Q170161	guild	corporation	Zunft	DEL	close match	#	Q19			
corps	body	Körper	Q170494	https://www.wikidata.org/wiki/Q170494		corps	body	Körper	DEL	exact match					
correspondance	correspondence	Korrespondenz	Q1784733	https://www.wikidata.org/wiki/Q1784733		correspondance	correspondence	Korrespondenz	DEL	exact match					
correspondance littéraire	epistolary novel	Briefroman	Q2250271		https://www.wikidata.org/wiki/Q2250271	Correspondance littéraire	Correspondance littéraire	Briefliteratur	DEL	close match	#	Q19			
cosmopolitisme	cosmopolitanism	Kosmopolitismus	Q188843	https://www.wikidata.org/wiki/Q188843		Cosmopolitisme	cosmopolitanism	Kosmopolitismus	DEL	exact match					
couleur	color	Farbe	Q1075	https://www.wikidata.org/wiki/Q1075		couleur	color	Farbe	DEL	exact match					
crime	crime	Verbrechen	Q83267	https://www.wikidata.org/wiki/Q83267		crime	crime	Verbrechen	Seklit	exact match					
critique d'art	art criticism	Kunstkritik	Q1143847	https://www.wikidata.org/wiki/Q1143847		Critique d‘art	Art criticism	Kunstkritik	DEL	exact match					
critique sociale	social criticism	Gesellschaftskritik							Seklit						
culpabilité	guilt	Schuld	Q628939	https://www.wikidata.org/wiki/Q628939		culpabilité	guilt	Schuld	Seklit	exact match					
culture populaire	popular culture	Populärkultur	Q131265	https://www.wikidata.org/wiki/Q131265		Culture populaire	Popular culture	Popkultur	DEL	exact match					
curiosité	curiosity	Neugier	Q7167	https://www.wikidata.org/wiki/Q366791		curiosité	curiosity	Neugier	DEL	exact match					
danse	dance	Tanz	Q11639	https://www.wikidata.org/wiki/Q11639		Danse	dance	Tanz	DEL	exact match					
décadence	decadence	Dekadenz	Q945895	https://www.wikidata.org/wiki/Q945895		décadence	decadence	Dekadenz	Seklit	exact match					
déchristianisation	dechristianisation	Entchristianisierung	Q1344444		https://www.wikidata.org/wiki/Q1344444	déchristianisation	Dechristianisation of France during the French Revolution	Entchristianisierung	DEL	close match	#	Q19			
décoration	decoration	Orden	Q11796413		https://www.wikidata.org/wiki/Q11796413	décoration	decoration	Orden und Ehrenzeichen	DEL	close match	#	Q19			
déisme	deism	Deismus	Q620629	https://www.wikidata.org/wiki/Q620629		déisme	deism	Deismus	DEL	exact match					
démocratie	democacy	Demokratie	Q7174	https://www.wikidata.org/wiki/Q7174		démocratie	democacy	Demokratie	Seklit	exact match					
démographie	demography	Demografie	Q37732	https://www.wikidata.org/wiki/Q37732		démographie	demography	Demografie	DEL	exact match					
dérision	mockery	Spott	Q25635316	https://www.wikidata.org/wiki/Q25635316		dérision	mockery	Spott	Seklit	exact match					
dessin	drawing	Zeichnung	Q93184	https://www.wikidata.org/wiki/Q93184		Dessin	Drawing	Zeichnung	DEL	exact match					
destin	destiny	Schicksal	Q216774	https://www.wikidata.org/wiki/Q216774		destin	destiny	Schicksal	Topic Modeling	exact match					
deuil	mourning	Trauer	Q750652	https://www.wikidata.org/wiki/Q750652		deuil	mourning	Trauer	Seklit	exact match					
devoir	duty	Pflicht	Q878070	https://www.wikidata.org/wiki/Q878070		devoir	duty	Pflicht	Seklit	exact match					
diable	devil	Teufel	Q6674	https://www.wikidata.org/wiki/Q6674		diable	devil	Teufel	DEL	exact match					
dialogue	dialogue	Dialog	Q131395	https://www.wikidata.org/wiki/Q131395		Dialogue	Dialogue	Dialog	DEL	exact match					
dictionnaire	dictionary	Wörterbuch	Q23622	https://www.wikidata.org/wiki/Q23622		dictionnaire	dictionary	Wörterbuch	DEL	exact match					
Dieu	God	Gott	Q190	https://www.wikidata.org/wiki/Q190		Dieu	God	Gott	DEL	exact match					
difformité	deformity	Deformität	Q1182746	https://www.wikidata.org/wiki/Q1182746		difformité	deformity	Deformität	DEL	exact match					
dilettantisme	dilettantism	Dilettantismus	Q16027925		https://www.wikidata.org/wiki/Q16027925		dilettantism	Dilettantismus	DEL	close match	#	Q19			
domestique	domestic worker	Hauspersonal	Q54128	https://www.wikidata.org/wiki/Q54128		domestique	domestic worker	Hauspersonal	DEL	exact match					
drame	drama	Drama	Q25372	https://www.wikidata.org/wiki/Q25372		drame	drama	Drama	DEL	exact match					
droit	law	Recht	Q7748	https://www.wikidata.org/wiki/Q7748		droit	law	Recht	Seklit	exact match					
droit naturel	natural law	Naturrecht	Q29524	https://www.wikidata.org/wiki/Q29524		Droit naturel	Natural law	Naturrecht	DEL	exact match					
