P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
75.31	r_s	sensibilité, discussions	sensibilité	isabout	sentimentalisme		
75.33	r_s	sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
75.35	r_s	malheurs, sensibilité	sensibilité	isabout	sentimentalisme		
75.35	r_s	malheurs, sensibilité	malheurs	isabout	malheur		
75.35	r_c	épisodes décousus de la vie de l’homme sensible, peinture des mœurs	mœurs	isabout	mœurs		
75.36	r_s	sensibilité effrénée, malheurs	sensibilité	isabout	sentimentalisme		
75.36	r_s	sensibilité effrénée, malheurs	malheurs	isabout	malheur		
75.36	r_c	amours contrariées	amour	isabout	amour		
75.39	r_c	En marge: ouvrage curieux (en lettres) où règne un certain désordre: les voyages du narrateur sont entrecoupés de discussions philosophiques et de diverses anecdotes et histoires	voyages	isabout	voyage		
75.39	r_c	En marge: ouvrage curieux (en lettres) où règne un certain désordre: les voyages du narrateur sont entrecoupés de discussions philosophiques et de diverses anecdotes et histoires	philosophiques	isabout	philosophie		
75.39bis	r_c	voyage aux enfers	voyage	isabout	voyage		
75.4	r_c	intrigue sentimental, prétentions moralisatrices	sentimental	isabout	sentiment		
75.40	r_c	intrigues politiques et sentimentales, malheurs	sentimentale	isabout	sentiment		
75.40	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
75.40	r_c	intrigues politiques et sentimentales, malheurs	politique	isabout	politique		
75.40	r_c	intrigues politiques et sentimentales, malheurs	malheurs	isabout	malheur		
75.41	r_c	intrigue sentimental et chevaleresque	sentimental	isabout	sentiment		
75.41	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
75.42	r_c	amours, malheurs, guerres et intrigues	malheurs	isabout	malheur		
75.42	r_c	amours, malheurs, guerres et intrigues	amour	isabout	amour		
75.43	r_c	voyage allégorique de la Raison et de la Vérité	voyage	isabout	voyage		
75.44	r_c	voyages, aventures romanesques, discussions	voyages	isabout	voyage		
75.44	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
75.46	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
75.5	r_c	malheurs et misère d’une orpheline, aventures romanesques	malheurs	isabout	malheur		
75.6	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
75.6	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
75.9	r_s	sensibilité, malheurs	sensibilité	isabout	sentimentalisme		
75.9	r_s	sensibilité, malheurs	malheurs	isabout	malheur		
75.9	r_c	amours contrariées, mariage de convenance	amour	isabout	amour		
76.1	r_c	intrigues amoureuses de personnages connus, présentées d’une façon romanesque avec des réflexions morales	amour	isabout	amour		
76.1	r_c	intrigues amoureuses de personnages connus, présentées d’une façon romanesque avec des réflexions morales	morale	isabout	morale		
76.10bis	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
76.10bis	r_c	amours malheureuses	malheur	isabout	malheur		
76.10bis	r_c	amours malheureuses	amour	isabout	amour		
76.12	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
76.12	r_c	un croisé prisonnier des Turcs s’échappe et rentre en France au sein de sa famille	famille	isabout	famille		
76.13	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
76.13	r_c	aventures militaires (un fils naturel reconnaît son père mourant)	nature	isabout	nature		
76.13	r_c	aventures militaires (un fils naturel reconnaît son père mourant)	militaire	isabout	militaire		
76.14	r_c	intrigues galantes, voluptueuses	galant	isabout	galanterie		
76.17	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
76.17	r_s	sensibilité passionnée	sensibilité	isabout	sentimentalisme		
76.17	r_s	sensibilité passionnée	passion	isabout	passion		
76.26	r_c	amours malheureuses	malheur	isabout	malheur		
76.26	r_c	amours malheureuses	amour	isabout	amour		
76.26	r_s	mélancolie, désespoir	mélancolie	isabout	mélancolie		
76.30	r_c	intrigue sentimentale (un mari infidèle fait souffrir sa femme et sa maîtresse, vertueuses toutes deux ...)	sentimentale	isabout	sentiment		
76.30	r_s	sensibilité effrénée, malheurs, vertu	sensibilité	isabout	sentimentalisme		
76.30	r_s	sensibilité effrénée, malheurs, vertu	malheurs	isabout	malheur		
76.30	r_c	intrigue sentimentale (un mari infidèle fait souffrir sa femme et sa maîtresse, vertueuses toutes deux ...)	vertu	isabout	vertu		
76.32	r_c	histoire sentimentale dans un cadre exotique; malheurs, sensibilité effrénée, vertu, nature sauvage	sentimentale	isabout	sentiment		
76.32	r_c	histoire sentimentale dans un cadre exotique; malheurs, sensibilité effrénée, vertu, nature sauvage	sensibilité	isabout	sentimentalisme		
76.32	r_c	histoire sentimentale dans un cadre exotique; malheurs, sensibilité effrénée, vertu, nature sauvage	malheurs	isabout	malheur		
76.32	r_c	histoire sentimentale dans un cadre exotique; malheurs, sensibilité effrénée, vertu, nature sauvage	vertu	isabout	vertu		
76.32	r_c	histoire sentimentale dans un cadre exotique; malheurs, sensibilité effrénée, vertu, nature sauvage	nature	isabout	nature		
76.33	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
76.33	r_c	amours contrariées, malheurs	malheurs	isabout	malheur		
76.33	r_c	amours contrariées, malheurs	amour	isabout	amour		
76.39	r_c	intrigue sentimentale, histoires de famille	sentimentale	isabout	sentiment		
76.39	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
76.39	r_c	intrigue sentimentale, histoires de famille	famille	isabout	famille		
76.41	r_c	intrigues sentimentales, histoires de famille, anecdotes historiques	sentimentale	isabout	sentiment		
76.41	r_c	intrigues sentimentales, histoires de famille, anecdotes historiques	famille	isabout	famille		
76.42	r_c	aventures picaresques, voyages en mer	voyages	isabout	voyage		
76.43	r_c	traité d’éducation sous une forme romanesque	éducation	isabout	éducation		
76.44	r_s	prétentions moralisatrices, tendances réalistes, sensibilité	sensibilité	isabout	sentimentalisme		
76.45	r_c	les mésaventures d’un Anglais à Paris (peinture des mœurs)	mœurs	isabout	mœurs		
76.46	r_c	Récit facétieux parsemé de calembours: ’Je suis né dans la ville de Mons & merveille, ce qui fait que je suis étranger à la chose’.	merveille	isabout	miracle		
76.48	r_c	histoires sentimentales, intrigues de cour	sentimentale	isabout	sentiment		
76.48	r_c	histoires sentimentales, intrigues de cour	cour	isabout	cour		
76.49	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
76.49	r_c	amours tragiques	amour	isabout	amour		
76.5	r_c	aventures romanesques, voyages	voyages	isabout	voyage		
76.50	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
76.50	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
76.51	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
76.51	r_c	intrigues de famille	famille	isabout	famille		
76.52	r_c	aventures romanesques, voyages	voyages	isabout	voyage		
76.6	r_c	intrigue sentimentale, domestique (un mari tiraillé entre son ancienne maîtresse et sa femme)	sentimentale	isabout	sentiment		
76.6	r_s	sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
76.8	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
76.8	r_s	sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
77.1	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
77.1	r_c	amours contrariées, aventures romanesques, malheurs	malheurs	isabout	malheur		
77.1	r_c	amours contrariées, aventures romanesques, malheurs	amour	isabout	amour		
77.10	r_s	sensibilité, nature, malheurs	sensibilité	isabout	sentimentalisme		
77.10	r_s	sensibilité, nature, malheurs	malheurs	isabout	malheur		
77.10	r_s	sensibilité, nature, malheurs	nature	isabout	nature		
77.11	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
77.12	r_c	En marge: biographie sans doute quelque peu romancée du célèbre criminel	criminel	isabout	crime		
77.13	r_c	le héros, invisible, observe ses contemporains dans une série de scènes où les mœurs sont critiquées	mœurs	isabout	mœurs		
77.14	r_c	En marge: roman de l’éducation virant au traité (le roi Agathocrator et sa femme Sophronie s’occupent de l’éducation de leur fils, le jeune Agathocrator)	éducation	isabout	éducation		
77.15	r_c	En marge: l’auteur raconte en prose et en vers un voyage par le coche d’eau de Paris en Bourgogne	voyage	isabout	voyage		
77.16	r_s	sensibilité effrénée, vertu, bienfaisance	sensibilité	isabout	sentimentalisme		
77.16	r_c	amours contrariées, aventures romanesques	amour	isabout	amour		
77.16	r_s	sensibilité effrénée, vertu, bienfaisance	vertu	isabout	vertu		
77.18	r_s	sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
77.2	r_c	correspondance lubrique, libertinage des religieuses	libertin	isabout	libertinage		
77.2	r_c	correspondance lubrique, libertinage des religieuses	lubrique	isabout	érotisme		
77.2	r_c	correspondance lubrique, libertinage des religieuses	correspondance	isabout	correspondance littéraire		
77.3	r_c	récits libres, précisions pornographiques	pornographiques	isabout	érotisme		
77.30	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
77.32	r_c	En marge: les rencontres et les conversations philosophiques d’un étranger à Paris, racontées à la première personne (dialogues, mise en scène)	philosophiques	isabout	philosophie		
77.35	r_c	aventures romanesques, crimes, voyages	voyages	isabout	voyage		
77.37	r_c	intrigue sentimentale, aventures romanesques, voyages	sentimentale	isabout	sentiment		
77.37	r_c	intrigue sentimentale, aventures romanesques, voyages	voyages	isabout	voyage		
77.38	r_s	sensibilité, prétentions morales (portrait du citoyen vertueux)	sensibilité	isabout	sentimentalisme		
77.38	r_c	intrigues politiques, guerres, vie romancée d’Aristide (dialogues, mise en scène)	politique	isabout	politique		
77.38	r_s	sensibilité, prétentions morales (portrait du citoyen vertueux)	morale	isabout	morale		
77.38	r_s	sensibilité, prétentions morales (portrait du citoyen vertueux)	vertu	isabout	vertu		
77.4	r_c	l’âme d’un homme qui vient de mourir voyage et observe les mœurs	voyage	isabout	voyage		
77.4	r_c	l’âme d’un homme qui vient de mourir voyage et observe les mœurs	mœurs	isabout	mœurs		
77.42	r_c	intrigue sentimentale et mondaine	sentimentale	isabout	sentiment		
77.48	r_c	allégorie politique de la France	politique	isabout	politique		
77.52	r_s	sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
77.52	r_c	malheurs d’une jeune paysanne, que sa protectrice noble emmène à Paris	malheurs	isabout	malheur		
77.53	r_c	intrigue sentimentale, malheurs	sentimentale	isabout	sentiment		
77.53	r_s	sensibilité, vertu, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
77.53	r_c	intrigue sentimentale, malheurs	malheurs	isabout	malheur		
77.53	r_s	sensibilité, vertu, prétentions moralisatrices	vertu	isabout	vertu		
77.54	r_s	sensibilité effrénée, mélancolie	sensibilité	isabout	sentimentalisme		
77.54	r_c	amours malheureuses (un jeune homme souffre d’un cœur trop sensible...)	malheur	isabout	malheur		
77.54	r_c	amours malheureuses (un jeune homme souffre d’un cœur trop sensible...)	amour	isabout	amour		
77.54	r_s	sensibilité effrénée, mélancolie	mélancolie	isabout	mélancolie		
77.56	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
77.56	r_s	les récits illustrent les théories de l’auteur sur l’amour et le mariage	amour	isabout	amour		
77.59	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
77.59	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
77.6	r_c	voyages et aventures picaresques	voyages	isabout	voyage		
77.8	r_c	aventures romanesques, intrigue sentimentale	sentimentale	isabout	sentiment		
77.8	r_s	sensibilité effrénée, effets d’horreur	sensibilité	isabout	sentimentalisme		
77.9	r_s	sensibilité larmoyante	sensibilité	isabout	sentimentalisme		
78.11	r_c	aventures sentimentales et galantes	galant	isabout	galanterie		
78.11	r_c	aventures sentimentales et galantes	sentimentale	isabout	sentiment		
78.11	r_s	sensibilité, mélancolie, quelques tendances réalistes au début	sensibilité	isabout	sentimentalisme		
78.11	r_s	sensibilité, mélancolie, quelques tendances réalistes au début	mélancolie	isabout	mélancolie		
78.12	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
78.12	r_c	malheurs, amours contrariées	malheurs	isabout	malheur		
78.12	r_c	malheurs, amours contrariées	amour	isabout	amour		
78.13	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
78.13	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
78.14	r_c	aventures romanesques et sentimentales d’une jeune fille ruinée	sentimentale	isabout	sentiment		
78.15	r_c	voyages imaginaires, critique des mœurs de différents pays	voyages	isabout	voyage		
78.15	r_c	voyages imaginaires, critique des mœurs de différents pays	mœurs	isabout	mœurs		
78.16	r_s	vertu, sensibilité	sensibilité	isabout	sentimentalisme		
78.16	r_c	l’amitié de deux hommes vertueux	vertu	isabout	vertu		
78.17	r_c	intrigue mondaine et sentimentale	sentimentale	isabout	sentiment		
78.18	r_c	série de petits croquis des mœurs, au fur et à mesure qu’un écu passe de main en main	mœurs	isabout	mœurs		
78.19	r_c	intrigues politiques	politique	isabout	politique		
78.2	r_c	voyages et vengeance de Vulcain	voyages	isabout	voyage		
78.20	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
78.20	r_c	malheurs romanesques, observations sur les mœurs	malheurs	isabout	malheur		
78.20	r_s	sensibilité, vertu	vertu	isabout	vertu		
78.20	r_c	malheurs romanesques, observations sur les mœurs	mœurs	isabout	mœurs		
78.22	r_c	aventures romanesques et galantes d’un jeune homme, voyages	galant	isabout	galanterie		
78.22	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
78.22	r_c	aventures romanesques et galantes d’un jeune homme, voyages	voyages	isabout	voyage		
78.24	r_c	Entretiens moraux (entre madame de Valcour, Julie. Annette), entremêlés de petites scènes de comédie et de contes moraux	cour	isabout	cour		
78.25	r_c	pèlerinage au temple de l’amour fait par deux époux qui s’aiment (critique des mœurs parisiennes)	amour	isabout	amour		
78.25	r_c	pèlerinage au temple de l’amour fait par deux époux qui s’aiment (critique des mœurs parisiennes)	mœurs	isabout	mœurs		
78.26	r_c	intrigue sentimentale, réflexions	sentimentale	isabout	sentiment		
78.26	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
78.27	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
78.27	r_c	naufrage, voyages, malheurs, utopie	malheurs	isabout	malheur		
78.27	r_c	naufrage, voyages, malheurs, utopie	voyages	isabout	voyage		
78.27	r_s	sensibilité, vertu	vertu	isabout	vertu		
78.27	r_c	naufrage, voyages, malheurs, utopie	naufrage	isabout	naufrage		
78.28	r_c	intrigue sentimentale, observations sur les mœurs	sentimentale	isabout	sentiment		
78.28	r_c	intrigue sentimentale, observations sur les mœurs	mœurs	isabout	mœurs		
78.29	r_c	récit d’un voyage fait en Angleterre	voyage	isabout	voyage		
78.29	r_s	critique des mœurs	mœurs	isabout	mœurs		
78.30	r_c	intrigue sentimentale qui sert de cadre à des théories sur l’amour et le mariage	sentimentale	isabout	sentiment		
78.30	r_s	sensibilité, but didactique, esprit de système	sensibilité	isabout	sentimentalisme		
78.30	r_c	intrigue sentimentale qui sert de cadre à des théories sur l’amour et le mariage	amour	isabout	amour		
78.33	r_c	histoire d’amour burlesque	amour	isabout	amour		
78.34	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
78.34	r_c	amours contrariées, malheurs	malheurs	isabout	malheur		
78.34	r_c	amours contrariées, malheurs	amour	isabout	amour		
78.4	r_c	aventures galantes	galant	isabout	galanterie		
78.4	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
78.5	r_c	discussions morales, intrigues politiques	politique	isabout	politique		
78.5	r_c	discussions morales, intrigues politiques	morale	isabout	morale		
78.9	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
78.9	r_c	amours contrariées par un père riche et sans cœur, malheurs romanesques	malheurs	isabout	malheur		
78.9	r_c	amours contrariées par un père riche et sans cœur, malheurs romanesques	amour	isabout	amour		
79.1	r_c	aventures galantes et romanesques, voyages	galant	isabout	galanterie		
79.1	r_c	aventures galantes et romanesques, voyages	voyages	isabout	voyage		
79.10	r_c	voyages, critique des mœurs et des institutions (surtout de l’Eglise)	voyages	isabout	voyage		
79.10	r_c	voyages, critique des mœurs et des institutions (surtout de l’Eglise)	mœurs	isabout	mœurs		
79.11	r_c	voyage aux enfers, discussions	voyage	isabout	voyage		
79.13	r_c	malheurs d’une orpheline, histoires d’argent, aventures romanesques	malheurs	isabout	malheur		
79.14	r_s	discussions politiques	politique	isabout	politique		
79.15	r_c	petite intrigue galante	galant	isabout	galanterie		
79.18	r_c	aventures galantes de deux jeunes gens qui font leurs premiers pas dans le monde	galant	isabout	galanterie		
79.2	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
79.2	r_c	épreuve d’amour (un amant laisse croire à sa bien-aimée qu’il est mort, pour l’observer grâce à une correspondance où il prend un faux nom ...)	amour	isabout	amour		
79.2	r_c	épreuve d’amour (un amant laisse croire à sa bien-aimée qu’il est mort, pour l’observer grâce à une correspondance où il prend un faux nom ...)	correspondance	isabout	correspondance littéraire		
79.23	r_c	intrigue sentimentale, malheurs, horreur	sentimentale	isabout	sentiment		
79.23	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
79.23	r_c	intrigue sentimentale, malheurs, horreur	malheurs	isabout	malheur		
79.26	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
79.26	r_c	amours malheureuses, jeune fille persécutée	malheur	isabout	malheur		
79.26	r_c	amours malheureuses, jeune fille persécutée	amour	isabout	amour		
79.28	r_c	aventures, intrigue sentimentale	sentimentale	isabout	sentiment		
79.29	r_c	intrigues de cour, aventures guerrières, arrière-plan historique, voyages d’un jeune prince	guerrière	isabout	guerre		
79.29	r_c	intrigues de cour, aventures guerrières, arrière-plan historique, voyages d’un jeune prince	voyages	isabout	voyage		
79.29	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
79.29	r_c	intrigues de cour, aventures guerrières, arrière-plan historique, voyages d’un jeune prince	cour	isabout	cour		
79.3	r_c	aventures galantes et scabreuses	galant	isabout	galanterie		
79.30	r_c	les aventures et malheurs d’un protestant	malheurs	isabout	malheur		
79.31	r_s	fortes tendances réalistes, sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
79.32	r_c	voyages et aventures (souvent galantes) d’un jeune homme qui fait son chemin	galant	isabout	galanterie		
79.32	r_c	voyages et aventures (souvent galantes) d’un jeune homme qui fait son chemin	voyages	isabout	voyage		
79.33	r_c	aventures chevaleresques et merveilleuses	merveille	isabout	miracle		
79.33	r_c	aventures chevaleresques et merveilleuses	chevaleresques	isabout	chevalerie		
79.34	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
79.34	r_c	intrigues romanesques, amours malheureuses	malheur	isabout	malheur		
79.34	r_c	intrigues romanesques, amours malheureuses	amour	isabout	amour		
79.35	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
79.35	r_c	amours malheureuses	malheur	isabout	malheur		
79.35	r_c	amours malheureuses	amour	isabout	amour		
79.36	r_c	aventures d’un jeune homme qui s’attire des malheurs en disant toujours la vérité	malheurs	isabout	malheur		
79.4	r_c	malheurs, intrigue sentimentale (une femme noble et sa fille réduites à la misère et secourues par un généreux protecteur)	sentimentale	isabout	sentiment		
79.4	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
79.4	r_c	malheurs, intrigue sentimentale (une femme noble et sa fille réduites à la misère et secourues par un généreux protecteur)	malheurs	isabout	malheur		
79.4	r_c	malheurs, intrigue sentimentale (une femme noble et sa fille réduites à la misère et secourues par un généreux protecteur)	cour	isabout	cour		
79.5	r_c	naufrage, éléments merveilleux, aventures galantes	galant	isabout	galanterie		
79.5	r_c	naufrage, éléments merveilleux, aventures galantes	merveille	isabout	miracle		
79.5	r_c	naufrage, éléments merveilleux, aventures galantes	naufrage	isabout	naufrage		
79.7	r_c	intrigue mondaine et sentimentale	sentimentale	isabout	sentiment		
79.8	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
79.8	r_c	amours historiques, déguisements champêtres	amour	isabout	amour		
79.9	r_c	intrigue sentimentale, aventures guerrières	sentimentale	isabout	sentiment		
79.9	r_c	intrigue sentimentale, aventures guerrières	guerrière	isabout	guerre		
79.9	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
80.1	r_c	vie amoureuse de Catherine, ses hallucinations et ses rêves	amour	isabout	amour		
80.10	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
80.10	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
80.11	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
80.11	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
80.12	r_s	description et critique de l’organisation politique de la République	politique	isabout	politique		
80.14	r_c	aventures romanesques et guerrières, intrigues politiques et sentimentales	sentimentale	isabout	sentiment		
80.14	r_c	aventures romanesques et guerrières, intrigues politiques et sentimentales	guerrière	isabout	guerre		
80.14	r_c	aventures romanesques et guerrières, intrigues politiques et sentimentales	politique	isabout	politique		
80.14	r_s	éléments historiques	éléments historiques	isabout	histoire		
80.16	r_c	les malheurs d ’un berger qui part à la ville	malheurs	isabout	malheur		
80.16	r_s	retour à la nature, thèmes anticléricaux (religion naturelle)	nature	isabout	nature		
80.17	r_s	critique des mœurs anglaises	mœurs	isabout	mœurs		
80.18	r_c	éducation d’un jeune homme, critique des mœurs et de l’éducation, thèmes philosophiques et littéraires	éducation	isabout	éducation		
80.18	r_c	éducation d’un jeune homme, critique des mœurs et de l’éducation, thèmes philosophiques et littéraires	thèmes philosophiques	isabout	philosophie		
80.18	r_c	éducation d’un jeune homme, critique des mœurs et de l’éducation, thèmes philosophiques et littéraires	mœurs	isabout	mœurs		
80.19	r_c	intrigues mondaines, histoires d’amour, malheurs	malheurs	isabout	malheur		
80.19	r_c	intrigues mondaines, histoires d’amour, malheurs	amour	isabout	amour		
80.2	r_c	féerie, aventures chevaleresques	chevaleresques	isabout	chevalerie		
80.20	r_c	malheurs d’une jeune fille (Clarence) dont la famille est ruinée, intrigue sentimentale	sentimentale	isabout	sentiment		
80.20	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
80.20	r_c	malheurs d’une jeune fille (Clarence) dont la famille est ruinée, intrigue sentimentale	famille	isabout	famille		
80.20	r_c	malheurs d’une jeune fille (Clarence) dont la famille est ruinée, intrigue sentimentale	malheurs	isabout	malheur		
80.24	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
80.24	r_s	sensibilité, analyse des passions	sensibilité	isabout	sentimentalisme		
80.24	r_s	sensibilité, analyse des passions	passion	isabout	passion		
80.25	r_c	aventures chevaleresques	chevaleresques	isabout	chevalerie		
80.26	r_c	Vaste série de nouvelles, où l’auteur entreprend de brosser un tableau systématique des femmes et des mœurs de son époque	mœurs	isabout	mœurs		
80.27	r_c	aventures galantes et romanesques	galant	isabout	galanterie		
80.27	r_s	réalisme du cadre, autobiographie romancée, sensibilité, prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
80.28	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
80.28	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
80.29	r_c	amours contrariées	amour	isabout	amour		
80.32	r_c	aventures sentimentales et chevaleresques	sentimentale	isabout	sentiment		
80.32	r_c	aventures sentimentales et chevaleresques	chevaleresques	isabout	chevalerie		
80.33	r_c	aventures sentimentales et chevaleresques	sentimentale	isabout	sentiment		
80.33	r_c	aventures sentimentales et chevaleresques	chevaleresques	isabout	chevalerie		
80.34	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
80.5	r_c	voyages, intrigue sentimentale	sentimentale	isabout	sentiment		
80.5	r_c	voyages, intrigue sentimentale	voyages	isabout	voyage		
80.6	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
80.6	r_c	malheurs d’une jeune fille qui cherche à échapper à un mariage qui lui déplaît	malheurs	isabout	malheur		
80.7	r_c	histoires de famille, intrigues sentimentales	sentimentale	isabout	sentiment		
80.7	r_c	histoires de famille, intrigues sentimentales	famille	isabout	famille		
80.9	r_c	intrigue sentimentale, voyages, malheurs	sentimentale	isabout	sentiment		
80.9	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
80.9	r_c	intrigue sentimentale, voyages, malheurs	malheurs	isabout	malheur		
80.9	r_c	intrigue sentimentale, voyages, malheurs	voyages	isabout	voyage		
81.1	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
81.1	r_c	amours contrariées	amour	isabout	amour		
81.10	r_c	intrigue sentimentale, malheurs	sentimentale	isabout	sentiment		
81.10	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
81.10	r_c	intrigue sentimentale, malheurs	malheurs	isabout	malheur		
81.11	r_c	malheurs d’une jeune femme, intrigue sentimentale	sentimentale	isabout	sentiment		
81.11	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
81.11	r_c	malheurs d’une jeune femme, intrigue sentimentale	malheurs	isabout	malheur		
81.11	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
81.12	r_c	aventures galantes d’une fille d’artisans adoptée par une marquise	galant	isabout	galanterie		
81.13	r_s	sensibilité passionnée, nature	sensibilité	isabout	sentimentalisme		
81.13	r_c	malheurs d’un jeune militaire	malheurs	isabout	malheur		
81.13	r_s	sensibilité passionnée, nature	passion	isabout	passion		
81.13	r_s	sensibilité passionnée, nature	nature	isabout	nature		
81.13	r_c	malheurs d’un jeune militaire	militaire	isabout	militaire		
81.15	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
81.15	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
81.2	r_s	discussions philosophiques et morales	philosophiques	isabout	philosophie		
81.2	r_s	discussions philosophiques et morales	morale	isabout	morale		
81.20	r_c	aventures guerrières, éléments magiques et allégoriques	guerrière	isabout	guerre		
81.25	r_c	un gentilhomme de province, retenu à Paris pour un procès, loge chez un homme doué de toutes les vertus...	vertu	isabout	vertu		
81.27	r_c	aventures libertines	libertines	isabout	libertinage		
81.28	r_c	aventures romanesques (une princesse qui survit au massacre de sa famille est élevée par un prêtre dans un souterrain)	famille	isabout	famille		
81.29	r_c	voyages imaginaires, aventures extraordinaires	voyages	isabout	voyage		
81.29	r_s	thèmes philosophiques, théories pseudoscientifiques, critique des mœurs	thèmes philosophiques	isabout	philosophie		
81.29	r_s	thèmes philosophiques, théories pseudoscientifiques, critique des mœurs	mœurs	isabout	mœurs		
81.3	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
81.32	r_c	intrigue sentimentale et aventures militaires	sentimentale	isabout	sentiment		
81.32	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
81.32	r_c	intrigue sentimentale et aventures militaires	militaire	isabout	militaire		
81.6	r_c	visite à Paris de deux provinciaux, critique des mœurs	mœurs	isabout	mœurs		
81.9	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
81.9	r_c	intrigues politiques	politique	isabout	politique		
82.10	r_c	intrigues politiques et sentimentales, aventures militaires	sentimentale	isabout	sentiment		
82.10	r_c	intrigues politiques et sentimentales, aventures militaires	politique	isabout	politique		
82.10	r_c	intrigues politiques et sentimentales, aventures militaires	militaire	isabout	militaire		
82.13	r_c	voyage philosophique, intrigue sentimentale, événements politiques	sentimentale	isabout	sentiment		
82.13	r_s	sensibilité, observations politiques et morales	sensibilité	isabout	sentimentalisme		
82.13	r_c	voyage philosophique, intrigue sentimentale, événements politiques	politique	isabout	politique		
82.13	r_c	voyage philosophique, intrigue sentimentale, événements politiques	voyage	isabout	voyage		
82.13	r_s	sensibilité, observations politiques et morales	morale	isabout	morale		
82.15	r_c	intrigue sentimentale en temps de guerre	sentimentale	isabout	sentiment		
82.15	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
82.16	r_c	conte allégorique (le fils du czar, enlevé, apprend à connaître la vertu)	vertu	isabout	vertu		
