P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
00.66	r_c	aventures allégoriques, voyages (le méchant Rapinor et ses cousins persécutent Candor et Sincère...)	voyages	isabout	voyage		
00.66	r_s	ton satirique, thèmes philosophiques, sensibilité	thèmes philosophiques	isabout	philosophie		
00.68	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
00.7	r_c	intrigues sentimentales, observations sur les mœurs	sentimentale	isabout	sentiment		
00.7	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.7	r_c	intrigues sentimentales, observations sur les mœurs	mœurs	isabout	mœurs		
00.70	r_c	intrigues romanesques et sentimentales, malheurs	sentimentale	isabout	sentiment		
00.70	r_s	sensibilité, roman noir	sensibilité	isabout	sentimentalisme		
00.70	r_c	intrigues romanesques et sentimentales, malheurs	malheurs	isabout	malheur		
00.73	r_c	amours contrariées	amour	isabout	amour		
00.74	r_s	ton sensible	sensible	isabout	sentimentalisme		
00.74	r_c	intrigues domestiques, voyages et aventures romanesques	voyages	isabout	voyage		
00.75	r_s	sensibilité, but moralisateur	sensibilité	isabout	sentimentalisme		
00.75	r_c	histoires de famille, intrigues mondaines	famille	isabout	famille		
00.76	r_c	aventures et malheurs d’un homme qui possède le secret de la pierre philosophale	malheurs	isabout	malheur		
00.79	r_c	amours contrariées, malheurs et horreur, aventures romanesques	malheurs	isabout	malheur		
00.79	r_c	amours contrariées, malheurs et horreur, aventures romanesques	amour	isabout	amour		
00.81	r_c	malheurs d’une captive, aventures romanesques	malheurs	isabout	malheur		
00.82	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.82	r_c	histoires de famille, malheurs	famille	isabout	famille		
00.82	r_c	histoires de famille, malheurs	malheurs	isabout	malheur		
00.83	r_c	aventures et intrigues sentimentales	sentimentale	isabout	sentiment		
00.84	r_c	voyages et amours d’Ardinghello, qui rêve d’organiser une petite société heureuse	voyages	isabout	voyage		
00.84	r_c	voyages et amours d’Ardinghello, qui rêve d’organiser une petite société heureuse	amour	isabout	amour		
00.85	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
00.85	r_s	roman de mœurs	mœurs	isabout	mœurs		
00.87	r_c	Récit d’un tour du monde servant à décrire le milieu, les habitants, la faune et la flore, les mœurs et les monuments du passé de divers pays [...]	mœurs	isabout	mœurs		
00.9	r_c	intrigues politiques et sentimentales, éléments mystérieux, arrière-plan historique (Etienne Marcel, Jacquerie)	sentimentale	isabout	sentiment		
00.9	r_s	sentiments royalistes et anti-révolutionnaires	révolutionnaires	isabout	révolution		
00.9	r_c	intrigues politiques et sentimentales, éléments mystérieux, arrière-plan historique (Etienne Marcel, Jacquerie)	mystérieux	isabout	mystère		
00.9	r_c	intrigues politiques et sentimentales, éléments mystérieux, arrière-plan historique (Etienne Marcel, Jacquerie)	politique	isabout	politique		
00.90	r_s	vertu, sensibilité, aventures sombres	sensibilité	isabout	sentimentalisme		
00.90	r_c	voyages et malheurs d’une jeune fille	malheurs	isabout	malheur		
00.90	r_c	voyages et malheurs d’une jeune fille	voyages	isabout	voyage		
00.90	r_s	vertu, sensibilité, aventures sombres	vertu	isabout	vertu		
00.93	r_c	aventures mystérieuses	mystérieuse	isabout	mystère		
00.95	r_c	correspondance sentimentale doublée d’un récit de voyage	sentimentale	isabout	sentiment		
00.95	r_c	correspondance sentimentale doublée d’un récit de voyage	voyage	isabout	voyage		
00.95	r_c	correspondance sentimentale doublée d’un récit de voyage	correspondance	isabout	correspondance littéraire		
00.96	r_c	aventures romanesques pendant la Révolution française	Révolution	isabout	révolution		
00.96	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.97	r_c	aventures de deux amoureux villageois	amour	isabout	amour		
00.97	r_c	aventures de deux amoureux villageois	village	isabout	village		
00.98	r_c	malheurs, intrigues sombres	malheurs	isabout	malheur		
00.99	r_c	intrigue mondaine, voyages, aventures	voyages	isabout	voyage		
51.1	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
51.1	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
51.10	r_c	amours pastorales, voyages, aventures romanesques	voyages	isabout	voyage		
51.10	r_c	amours pastorales, voyages, aventures romanesques	amour	isabout	amour		
51.11	r_c	aventures galantes et sentimentales (le héros apprend à être ‘philosophe’, se retire du monde)	galant	isabout	galanterie		
51.11	r_c	aventures galantes et sentimentales (le héros apprend à être ‘philosophe’, se retire du monde)	sentimentale	isabout	sentiment		
51.13	r_c	voyages, aventures romanesques, épisodes orientaux	voyages	isabout	voyage		
51.14	r_c	Deux contes de fées libertins	libertin	isabout	libertinage		
51.15	r_c	satire allégorique des mœurs françaises	mœurs	isabout	mœurs		
51.16	r_c	voyage en Corse	voyage	isabout	voyage		
51.17	r_c	carrière d’une courtisane, avec quelques scènes très libres	cour	isabout	cour		
51.18	r_s	anecdotes libertines	libertines	isabout	libertinage		
51.2	r_c	Peinture de mœurs, à propos du Jubilé de 1750	mœurs	isabout	mœurs		
51.21	r_c	aventures galantes et libertines	galant	isabout	galanterie		
51.21	r_c	aventures galantes et libertines	libertines	isabout	libertinage		
51.22	r_c	aventures galantes d’un jeune homme, critique des mœurs	galant	isabout	galanterie		
51.22	r_c	aventures galantes d’un jeune homme, critique des mœurs	mœurs	isabout	mœurs		
51.23	r_c	intrigues de cour	cour	isabout	cour		
51.24	r_c	peinture voluptueuse de la passion, suivie de discussions sur le bonheur	passion	isabout	passion		
51.25	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
51.25	r_c	voyages, aventures romanesques	voyages	isabout	voyage		
51.27	r_c	aventures romanesques et sentimentales	sentimentale	isabout	sentiment		
51.28	r_c	Soixante-deux lettres, en général sans rapport les unes avec les autres, où il est question de l’analyse de l’amour, souvent sur un plan théorique, mais parfois dans le cadre de situations concrètes évoquées par les correspondants	amour	isabout	amour		
51.3	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
51.3	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
51.31	r_c	intrigues politiques menées par le héros pour pouvoir rentrer à la cour de Siam	politique	isabout	politique		
51.31	r_s	observations sur les mœurs européennes, ton plaisant	mœurs	isabout	mœurs		
51.31	r_c	intrigues politiques menées par le héros pour pouvoir rentrer à la cour de Siam	cour	isabout	cour		
51.32	r_c	voyages et aventures romanesques d’un jeune homme qui apprend à être philosophe	voyages	isabout	voyage		
51.34	r_c	aventures merveilleuses et chevaleresques	merveille	isabout	miracle		
51.34	r_c	aventures merveilleuses et chevaleresques	chevaleresques	isabout	chevalerie		
51.36	r_c	aventures galantes et romanesques	galant	isabout	galanterie		
51.37	r_c	critique des mœurs (un fils de bonne famille devient fat); intrigue sentimentale	sentimentale	isabout	sentiment		
51.37	r_c	critique des mœurs (un fils de bonne famille devient fat); intrigue sentimentale	famille	isabout	famille		
51.37	r_s	intentions moralisatrices, thème de l’éducation	éducation	isabout	éducation		
51.37	r_c	critique des mœurs (un fils de bonne famille devient fat); intrigue sentimentale	mœurs	isabout	mœurs		
51.38	r_c	description d’une utopie où les gens sont honnêtes et sensibles	sensible	isabout	sentimentalisme		
51.40	r_s	intentions moralisatrices, sensibilité	sensibilité	isabout	sentimentalisme		
51.41	r_c	une suite d’incidents assez peu vraisemblables indique les effets des passions telles que l’amour, la jalousie, l’avarice etc	amour	isabout	amour		
51.41	r_c	une suite d’incidents assez peu vraisemblables indique les effets des passions telles que l’amour, la jalousie, l’avarice etc	passion	isabout	passion		
51.7	r_c	aventures galantes	galant	isabout	galanterie		
51.8	r_c	intrigues politiques et sentimentales	sentimentale	isabout	sentiment		
51.8	r_c	intrigues politiques et sentimentales	politique	isabout	politique		
51.9	r_c	intrigue galante, suivie de petites anecdotes sur ceux qui assistent au Carnaval	galant	isabout	galanterie		
51.9	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
52.1	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
52.1	r_c	histoires d’amour, aventures militaires, avec épisodes orientaux	amour	isabout	amour		
52.1	r_c	histoires d’amour, aventures militaires, avec épisodes orientaux	militaire	isabout	militaire		
52.10	r_c	série décousue d’anecdotes galantes	galant	isabout	galanterie		
52.12	r_c	intrigues sentimentales et galantes (V. aussi 52.13)	galant	isabout	galanterie		
52.12	r_c	intrigues sentimentales et galantes (V. aussi 52.13)	sentimentale	isabout	sentiment		
52.13	r_c	aventures romanesques et sentimentales	sentimentale	isabout	sentiment		
52.14	r_c	récit allégorique, philosophique (éducation d’une jeune fille).	éducation	isabout	éducation		
52.17	r_c	la Folie et la Mode tâchent de répandre leurs doctrines en Egypte, mais elles sont contrecarrées par des gens vertueux et raisonnables; critique des mœurs	vertu	isabout	vertu		
52.17	r_c	la Folie et la Mode tâchent de répandre leurs doctrines en Egypte, mais elles sont contrecarrées par des gens vertueux et raisonnables; critique des mœurs	mœurs	isabout	mœurs		
52.18	r_c	aventures merveilleuses et féeriques, voyages allégoriques	merveille	isabout	miracle		
52.18	r_c	aventures merveilleuses et féeriques, voyages allégoriques	voyages	isabout	voyage		
52.19	r_c	aventures galantes et merveilleuses, satire des mœurs	galant	isabout	galanterie		
52.19	r_c	aventures galantes et merveilleuses, satire des mœurs	merveille	isabout	miracle		
52.19	r_c	aventures galantes et merveilleuses, satire des mœurs	mœurs	isabout	mœurs		
52.2	r_c	aventures galantes avec épisodes scabreux	galant	isabout	galanterie		
52.21	r_s	satire des mœurs	mœurs	isabout	mœurs		
52.22	r_s	réflexions morales	morale	isabout	morale		
52.23	r_c	intrigues de famille	famille	isabout	famille		
52.24	r_c	aventures amoureuses et guerrières	guerrière	isabout	guerre		
52.24	r_c	aventures amoureuses et guerrières	amour	isabout	amour		
52.26	r_c	intrigues sentimentales (souffrances et triomphe final de l’héroïne qui est laide mais vertueuse)	sentimentale	isabout	sentiment		
52.26	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
52.26	r_c	intrigues sentimentales (souffrances et triomphe final de l’héroïne qui est laide mais vertueuse)	vertu	isabout	vertu		
52.27	r_c	intrigues de cour, aventures romanesques et merveilleuses, critique des institutions	merveille	isabout	miracle		
52.27	r_c	intrigues de cour, aventures romanesques et merveilleuses, critique des institutions	cour	isabout	cour		
52.28	r_c	aventures merveilleuses	merveille	isabout	miracle		
52.29	r_s	ton pseudo-historique et sensible	sensible	isabout	sentimentalisme		
52.29	r_c	intrigues de cour et aventures romanesques	cour	isabout	cour		
52.3	r_c	aventures, voyages; le héros a pour les femmes une très forte antipathie que son père lui a inculquée	voyages	isabout	voyage		
