P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
77.41	nt																																			
77.42	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
77.43	t	Ath�nes	Athènes	https://www.wikidata.org/wiki/Q1524																																
77.44	m																																			
77.45																																				
77.46																																				
77.47																																				
77.48		Perse	Perse	https://www.wikidata.org/wiki/Q3746183																																
77.49	mt																																			
77.5																																				
77.51																																				
77.52		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
77.53		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
77.54		Alsace (Kaisersberg)	Alsace	https://www.wikidata.org/wiki/Q1142	Kaisersberg																															
77.55																																				
77.56		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
77.58																																				
77.59	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
77.6	nt	Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Italie	Italie	https://www.wikidata.org/wiki/Q38																													
77.60																																				
77.61	n																																			
77.62	nt																																			
77.7	nt																																			
77.8		Bretagne (XVe si�cle)	Bretagne	https://www.wikidata.org/wiki/Q12130																																
77.9		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
78.10	m																																			
78.11		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
78.12		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142	Espagne	Espagne	https://www.wikidata.org/wiki/Q29																										
78.13		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
78.14	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																																
78.15																																				
78.16		province (Angers)	campagne	https://www.wikidata.org/wiki/Q175185	Angers																															
78.17	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
78.18																																				
78.19		Sparte (cour)	Sparte	https://www.wikidata.org/wiki/Q5690																																
78.2		cadre mythologique	cadre mythologique																																	
78.20		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Paris	Paris	https://www.wikidata.org/wiki/Q90	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828																										
78.21																																				
78.22	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																										
78.23																																				
78.24																																				
78.25		Gr�ce antique	Gr�ce antique	https://www.wikidata.org/wiki/Q11772																																
78.26		France	France	https://www.wikidata.org/wiki/Q142																																
78.27		Gr�ce antique	Gr�ce antique	https://www.wikidata.org/wiki/Q11772																																
78.28		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
78.29		France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
78.3	c																																			
78.30		France	France	https://www.wikidata.org/wiki/Q142																																
78.31		Italie	Italie	https://www.wikidata.org/wiki/Q38																																
78.32																																				
78.33		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
78.34		cour de Savoie	Savoie	https://www.wikidata.org/wiki/Q12745																																
78.35																																				
78.4		province	campagne	https://www.wikidata.org/wiki/Q175185																																
78.5		province	campagne	https://www.wikidata.org/wiki/Q175185																																
78.6	c																																			
78.7	[78.7]																																			
78.8	t																																			
78.9		France	France	https://www.wikidata.org/wiki/Q142																																
79.1		Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
79.10		Ardennes	Ardennes		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185	Pays-Bas	Pays-Bas	https://www.wikidata.org/wiki/Q55	Italie	Italie	https://www.wikidata.org/wiki/Q38																				
79.11		Enfer	enfer	https://www.wikidata.org/wiki/Q564																																
79.12	nt																																			
79.12bis	t																																			
79.12ter	nt																																			
79.13		Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
79.14		Paris	Paris	https://www.wikidata.org/wiki/Q90	Bruxelles	Bruxelles	https://www.wikidata.org/wiki/Q239	Londres	Londres	https://www.wikidata.org/wiki/Q84																										
79.15		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
79.16																																				
79.17	nt																																			
79.18		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
79.19	mnt																																			
79.2		France	France	https://www.wikidata.org/wiki/Q142																																
79.20																																				
79.21	*																																			
79.23	t	province	campagne	https://www.wikidata.org/wiki/Q175185																																
79.24																																				
79.25																																				
79.26		Hollande	Hollande	https://www.wikidata.org/wiki/Q102911																																
79.27																																				
79.28		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
79.29		Ph�nicie (antiquit�)	Phénicie	https://www.wikidata.org/wiki/Q41642	Rhodes	Rhodes	https://www.wikidata.org/wiki/Q43048	Milet	Milet	https://www.wikidata.org/wiki/Q169460	Italie	Italie	https://www.wikidata.org/wiki/Q38	Germanie	Germanie	https://www.wikidata.org/wiki/Q62646																				
79.3		Constantinople (s�rail)	Constantinople	https://www.wikidata.org/wiki/Q16869																																
79.30		C�vennes	Cévennes	https://www.wikidata.org/wiki/Q626655	Londres	Londres	https://www.wikidata.org/wiki/Q84																													
79.31		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
79.32	t	Irlande	Irlande	https://www.wikidata.org/wiki/Q27																																
79.33																																				
79.34		France (XVe si�cle)	France	https://www.wikidata.org/wiki/Q142																																
79.35		France (XVe si�cle)	France	https://www.wikidata.org/wiki/Q142																																
79.36		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
79.37	mnt																																			
79.4		France	France	https://www.wikidata.org/wiki/Q142																																
79.5		Asie mineure (Lampsaque)	Asie mineure	https://www.wikidata.org/wiki/Q12824780	Lampsaque																															
79.6		Amlac	Amlach	https://www.wikidata.org/wiki/Q472564																																
79.7	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
79.8		cour de France (XVIe si�cle)	France	https://www.wikidata.org/wiki/Q142																																
79.9		Orl�ans	Orléans	https://www.wikidata.org/wiki/Q6548	Italie (r�gne de Louis XII)	Italie	https://www.wikidata.org/wiki/Q38																													
80.1	m	Russie	Russie	https://www.wikidata.org/wiki/Q159																																
80.10		France (exil de Charles II d�Angteterre)	France	https://www.wikidata.org/wiki/Q142																																
80.11		France	France	https://www.wikidata.org/wiki/Q142																																
80.12	m																																			
80.13	mnt																																			
80.14		Italie (�poque de Th�odoric)	Italie	https://www.wikidata.org/wiki/Q38																																
80.15		France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Ecosse	Écosse	https://www.wikidata.org/wiki/Q22																										
80.16		Thessalie	Thessalie	https://www.wikidata.org/wiki/Q166919																																
80.17		Paris	Paris	https://www.wikidata.org/wiki/Q90	Londres	Londres	https://www.wikidata.org/wiki/Q84																													
80.18		France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
80.19		France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
80.2		Cachemire	Cachemire	https://www.wikidata.org/wiki/Q43100	France	France	https://www.wikidata.org/wiki/Q142																													
80.20		France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
80.21																																				
80.22																																				
80.23		France	France	https://www.wikidata.org/wiki/Q142	divers voyages	divers voyages																														
80.24		France	France	https://www.wikidata.org/wiki/Q142																																
80.25	nt	Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41	Europe	Europe	https://www.wikidata.org/wiki/Q46	Moyen-Orient	Moyen-Orient	https://www.wikidata.org/wiki/Q7204	...	...																								
80.26																																				
80.27		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
80.28		Bretagne (r�gne de Charles VII)	Bretagne	https://www.wikidata.org/wiki/Q12130																																
80.29		France (XVI si�cle)	France	https://www.wikidata.org/wiki/Q142																																
80.3																																				
80.30	c_MH																																			
80.31		Grande-Bretagne (moyen �ge)	Royaume-Uni	https://www.wikidata.org/wiki/Q145																																
80.32		cour du roi Jean	cour	https://www.wikidata.org/wiki/Q1134237																																
80.33		France (�poque de Louis-le-Gros)	France	https://www.wikidata.org/wiki/Q142																																
80.34	mnt	cadre pastoral grec	Gr�ce	https://www.wikidata.org/wiki/Q41																																
80.4																																				
80.5		�le de Lesbos	Lesbos	https://www.wikidata.org/wiki/Q128087	Cyth�re	Cythère	https://www.wikidata.org/wiki/Q207239	Eph�se	Éphèse	https://www.wikidata.org/wiki/Q64699469	Memphis	Memphis	https://www.wikidata.org/wiki/Q5715																							
80.6	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Italie	Italie	https://www.wikidata.org/wiki/Q38																													
80.7		France	France	https://www.wikidata.org/wiki/Q142																																
80.8	mnt																																			
80.9		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828																													
81.1		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Naples	Naples	https://www.wikidata.org/wiki/Q2634	Rome	Rome	https://www.wikidata.org/wiki/Q220	Florence ...	Florence	https://www.wikidata.org/wiki/Q2044																							
81.10																																				
81.11		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
81.12		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
81.13		Nord de la France	Nord de la France	https://www.wikidata.org/wiki/Q14201393																																
81.14	ct																																			
81.15		France	France	https://www.wikidata.org/wiki/Q142																																
81.16																																				
81.17																																				
81.18		M. Guillaume	M. Guillaume		l�abb� Printemps	l�abb� Printemps		Alix	Alix	https://www.wikidata.org/wiki/Q1364465																										
81.19	c_MH																																			
81.2		Calais	Calais	https://www.wikidata.org/wiki/Q6454	Gen�ve	Genève	https://www.wikidata.org/wiki/Q71	Italie	Italie	https://www.wikidata.org/wiki/Q38	Etats-Unis	�tats-Unis	https://www.wikidata.org/wiki/Q30	Chine...	R�publique populaire de Chine	https://www.wikidata.org/wiki/Q148																				
81.20		France	France	https://www.wikidata.org/wiki/Q142	Jersey	Jersey	https://www.wikidata.org/wiki/Q785																													
81.21																																				
81.22	m																																			
81.23																																				
81.24	nt																																			
81.25		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
81.26	m																																			
81.27		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
81.28		Arabie	Arabie	https://www.wikidata.org/wiki/Q31945																																
81.29		France	France	https://www.wikidata.org/wiki/Q142	pays imaginaires	pays de fiction	https://www.wikidata.org/wiki/Q1145276																													
81.3	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Irlande	Irlande	https://www.wikidata.org/wiki/Q27																													
81.30																																				
81.31	nt																																			
81.32		Corse	Corse	https://www.wikidata.org/wiki/Q14112																																
81.4	ct																																			
81.5																																				
81.6		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
81.7	c																																			
81.8		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
81.9		Angleterre (�poque de Charles 1er)	Angleterre	https://www.wikidata.org/wiki/Q21																																
82.1	m																																			
82.10		Pologne	Pologne	https://www.wikidata.org/wiki/Q36	avec �pisodes orientaux	Orient	https://www.wikidata.org/wiki/Q205653																													
82.11	nt																																			
82.12	m																																			
82.13		Tyr	Tyr	https://www.wikidata.org/wiki/Q82070	Syracuse	Syracuse																														
82.15	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																																
82.16	t	Russie	Russie	https://www.wikidata.org/wiki/Q159																																
82.18																																				
82.19	m																																			
82.2		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
82.21	t	Rome	Rome	https://www.wikidata.org/wiki/Q220	Carthage (guerres carthaginoises)	Carthage	https://www.wikidata.org/wiki/Q6343																													
82.22	mnt																																			
82.23																																				
82.24		province	campagne	https://www.wikidata.org/wiki/Q175185	Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727																													
82.25	m																																			
82.26		Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Nouveau Monde	Nouveau Monde	https://www.wikidata.org/wiki/Q127834																													
82.28		France	France	https://www.wikidata.org/wiki/Q142																																
82.29																																				
82.3		province (Avignon)	campagne	https://www.wikidata.org/wiki/Q175185	Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Avignon	Avignon	https://www.wikidata.org/wiki/Q6397																										
82.30	?																																			
82.31		France	France	https://www.wikidata.org/wiki/Q142																																
82.32		Egypte	�gypte	https://www.wikidata.org/wiki/Q79																																
82.33																																				
82.34	c_MH																																			
82.35																																				
82.36		Calais	Calais	https://www.wikidata.org/wiki/Q6454	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
82.37																																				
82.38		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
82.39	mnt																																			
82.4	m																																			
82.40	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
82.5		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
82.6	c																																			
82.7																																				
82.8																																				
82.9		Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
83.1		province (Normandie)	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90	Normandie	Normandie	https://www.wikidata.org/wiki/Q15878																										
83.10		France	France	https://www.wikidata.org/wiki/Q142	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Pologne	Pologne	https://www.wikidata.org/wiki/Q36																										
83.11		province (G�vaudan)	campagne	https://www.wikidata.org/wiki/Q175185	Rome	Rome	https://www.wikidata.org/wiki/Q220	Paris	Paris	https://www.wikidata.org/wiki/Q90	G�vaudan	G�vaudan	https://www.wikidata.org/wiki/Q514081																							
83.12																																				
83.13	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
83.14																																				
83.16		Ath�nes	Ath�nes	https://www.wikidata.org/wiki/Q1524	Constantinople (fin du IVe si�cle)	Constantinople	https://www.wikidata.org/wiki/Q16869																													
83.17																																				
83.18		Asie Mineure	Asie mineure	https://www.wikidata.org/wiki/Q12824780	Gr�ce	Grèce	https://www.wikidata.org/wiki/Q41																													
83.19	nt	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828	�le d�serte	île inhabitée	https://www.wikidata.org/wiki/Q1065592																										
83.2		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878	Moyen-Orient (moyen �ge)	Moyen-Orient	https://www.wikidata.org/wiki/Q7204																													
83.20		France (moyen �ge)	France	https://www.wikidata.org/wiki/Q142																																
83.21		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
83.22		Gen�ve	Genève	https://www.wikidata.org/wiki/Q71	campagne	campagne	https://www.wikidata.org/wiki/Q175185																													
83.23		France	France	https://www.wikidata.org/wiki/Q142	Moyen-Orient (moyen �ge fabuleux)	Moyen-Orient (moyen �ge fabuleux)																														
83.24	mnt																																			
83.25		France	France	https://www.wikidata.org/wiki/Q142																																
83.27		France	France	https://www.wikidata.org/wiki/Q142	�le d�serte	île inhabitée	https://www.wikidata.org/wiki/Q1065592																													
83.28	mnt																																			
83.29		Dauphin�	Dauphin�	https://www.wikidata.org/wiki/Q151999	G�nes	Gênes	https://www.wikidata.org/wiki/Q1449	Alger	Alger	https://www.wikidata.org/wiki/Q3561	l�isle de l�esclavage	l�isle de l�esclavage																								
83.3	ct																																			
83.30	n																																			
83.32		Italie	Italie	https://www.wikidata.org/wiki/Q38	Egypte	Égypte	https://www.wikidata.org/wiki/Q79	Perse	Perse	https://www.wikidata.org/wiki/Q3746183	Thibet	Thibet		France-Australe	France-Australe																					
83.33		Bretagne	Bretagne	https://www.wikidata.org/wiki/Q327	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
83.34	nt																																			
83.35		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
83.36		Cornouailles	Cornouailles	https://www.wikidata.org/wiki/Q23148	pays de Galles	pays de Galles	https://www.wikidata.org/wiki/Q25	Londres (moyen �ge)	Londres	https://www.wikidata.org/wiki/Q84																										
83.37																																				
83.38	t																																			
83.39	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																																
83.4		France	France	https://www.wikidata.org/wiki/Q142																																
83.41		Pays-Bas	Pays-Bas	https://www.wikidata.org/wiki/Q55																																
83.43	t	Suisse (village de Bonnal)	Suisse	https://www.wikidata.org/wiki/Q39	Bonnal	Bonnal																														
83.44																																				
83.45	*																																			
83.46	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Am�rique (Guerre de l�Ind�pendance)	Amérique	https://www.wikidata.org/wiki/Q828																													
83.47																																				
83.48		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
83.49																																				
83.5		France	France	https://www.wikidata.org/wiki/Q142																																
83.50	m																																			
83.51		France (�poque de Louis XI)	France	https://www.wikidata.org/wiki/Q142																																
83.52		France (�poque de Louis XI)	France (�poque de Louis XI)																																	
83.53		Flandres (�poque de Philippe-le-Bon)	Flandres (�poque de Philippe-le-Bon)		Bourgogne	Bourgogne	https://www.wikidata.org/wiki/Q357201	Tr�ves	Tr�ves																											
83.54		cour de France	France	https://www.wikidata.org/wiki/Q142																																
83.55		France	France	https://www.wikidata.org/wiki/Q142																																
83.56		Eraste	Eraste		la baronne	la baronne																														
83.57		continent des f�es et des g�nies	continent des f�es et des g�nies																																	
83.58	*																																			
83.59		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
83.6																																				
83.7		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
83.8		Paris	Paris	https://www.wikidata.org/wiki/Q90	Besan�on	Besançon	https://www.wikidata.org/wiki/Q37776	Berne	Berne	https://www.wikidata.org/wiki/Q70	Rome...	Rome	https://www.wikidata.org/wiki/Q220																							
84.1		France	France	https://www.wikidata.org/wiki/Q142																																
84.10																																				
84.11																																				
84.12	c																																			
84.13		Londres	Londres	https://www.wikidata.org/wiki/Q84	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
84.14	m																																			
84.15	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
84.16		cadre pastoral	cadre pastoral																																	
84.17		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
84.18		Suisse	Suisse	https://www.wikidata.org/wiki/Q39																																
84.19	nt																																			
84.2		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
84.20		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
84.21		Paris	Paris	https://www.wikidata.org/wiki/Q90	Londres	Londres	https://www.wikidata.org/wiki/Q84																													
84.22		cadre fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
84.23		France	France	https://www.wikidata.org/wiki/Q142	Lune	Lune	https://www.wikidata.org/wiki/Q405																													
84.24																																				
84.25																																				
84.26		province	campagne	https://www.wikidata.org/wiki/Q175185																																
84.28		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
84.29		Am�rique (Guerre de l�Ind�pendance)	États-Unis	https://www.wikidata.org/wiki/Q30																																
84.3		Cl�ves	Clèves	https://www.wikidata.org/wiki/Q6842																																
84.30	mnt																																			
84.31	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																																
84.32																																				
84.33																																				
84.34		Thessalie (cadre pastoral)	Thessalie	https://www.wikidata.org/wiki/Q166919																																
84.35																																				
84.36		Indes	Inde	https://www.wikidata.org/wiki/Q668																																
84.37		province	campagne	https://www.wikidata.org/wiki/Q175185																																
84.38		Paris	Paris	https://www.wikidata.org/wiki/Q90	Suisse	Suisse	https://www.wikidata.org/wiki/Q39																													
84.39		Paris	Paris	https://www.wikidata.org/wiki/Q90	Marseille	Marseille	https://www.wikidata.org/wiki/Q23482	Londres	Londres	https://www.wikidata.org/wiki/Q84																										
84.4		Bagdad	Bagdad	https://www.wikidata.org/wiki/Q1530	Chine	République populaire de Chine	https://www.wikidata.org/wiki/Q148																													
84.40		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
84.41		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828																													
84.42																																				
84.44	m																																			
84.45	c_MH																																			
84.46																																				
84.47		France	France	https://www.wikidata.org/wiki/Q142	Taiti	Tahiti	https://www.wikidata.org/wiki/Q42000																													
84.48																																				
84.49	mnt																																			
84.5	m	France (?)	France	https://www.wikidata.org/wiki/Q142																																
84.51	*																																			
84.52		Cr�te	Cr�te	https://www.wikidata.org/wiki/Q34374	Ath�nes	Athènes	https://www.wikidata.org/wiki/Q1524																													
84.53		Lydie	Lydie	https://www.wikidata.org/wiki/Q620765																																
84.54	t	Bavi�re	Bavière	https://www.wikidata.org/wiki/Q980	Italie	Italie	https://www.wikidata.org/wiki/Q38	France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																							
84.55	m																																			
84.56																																				
84.57	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
84.59																																				
84.6		France	France	https://www.wikidata.org/wiki/Q142																																
84.60	m																																			
84.61	nt																																			
84.62	mt	France	France	https://www.wikidata.org/wiki/Q142	Italie (moyen �ge)	Italie	https://www.wikidata.org/wiki/Q38																													
84.63	m																																			
84.64		Europe	Europe	https://www.wikidata.org/wiki/Q46																																
84.65																																				
84.7	ct																																			
84.8	nt																																			
84.9		Egypte	�gypte	https://www.wikidata.org/wiki/Q79	Venise	Venise	https://www.wikidata.org/wiki/Q641	Rome (�poque des Croisades	Rome	https://www.wikidata.org/wiki/Q220	de Gr�goire IX)	de Gr�goire IX)																								
85.1	t	France	France	https://www.wikidata.org/wiki/Q142																																
85.10		Bruxelles	Bruxelles	https://www.wikidata.org/wiki/Q239																																
85.11		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
85.12		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
85.13		Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Grenade VIlle si�cle	Grenade	https://www.wikidata.org/wiki/Q8810	Grenade	Grenade	https://www.wikidata.org/wiki/Q8810																										
85.14		province	campagne	https://www.wikidata.org/wiki/Q175185																																
85.15	t?	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																										
85.16		T�luce	T�luce																																	
85.17	mnt																																			
85.18	ct																																			
85.19		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
85.2		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Paris	Paris	https://www.wikidata.org/wiki/Q90	Venise	Venise	https://www.wikidata.org/wiki/Q641																										
85.20		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
85.21		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Am�rique du Sud	Amérique du Sud	https://www.wikidata.org/wiki/Q18																													
85.22	*																																			
85.23		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
85.25		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
85.26		Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
85.27	c																																			
85.28		France (fin du XVIIe si�cle)	France	https://www.wikidata.org/wiki/Q142																																
85.29																																				
85.3		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
85.30	t	Indes	Inde	https://www.wikidata.org/wiki/Q668	Moyen-Orient	Moyen-Orient	https://www.wikidata.org/wiki/Q7204	Europe	Europe	https://www.wikidata.org/wiki/Q46																										
85.31	nmt																																			
85.32	c																																			
85.33		royaume de Babimanie (Frivolopolis)	royaume de Babimanie (Frivolopolis)																																	
85.34		Italie	Italie	https://www.wikidata.org/wiki/Q38																																
85.35		Paris	Paris	https://www.wikidata.org/wiki/Q90	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
85.36		France (r�gne de Louis XI)	France	https://www.wikidata.org/wiki/Q142																																
85.37		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
85.38		isle des Sages (Gr�ce antique)	Grèce	https://www.wikidata.org/wiki/Q41																																
85.39		France	France	https://www.wikidata.org/wiki/Q142																																
85.4																																				
85.40		Irlande fantaisiste	pays de fiction	https://www.wikidata.org/wiki/Q1145276																																
85.41	nt																																			
85.42		G�orgie (T�flis)	Géorgie	https://www.wikidata.org/wiki/Q230	Ispahan	Ispahan	https://www.wikidata.org/wiki/Q42053		T�flis																											
85.43		province	campagne	https://www.wikidata.org/wiki/Q175185																																
85.44	t																																			
85.45	nt																																			
85.46	mnt																																			
85.47																																				
85.48																																				
85.5		Zante (mer Ionienne)	Zante	https://www.wikidata.org/wiki/Q144880	Venise	Venise	https://www.wikidata.org/wiki/Q641	Paris	Paris	https://www.wikidata.org/wiki/Q90	Ispahan	Ispahan	https://www.wikidata.org/wiki/Q42053	Chine	R�publique populaire de Chine	https://www.wikidata.org/wiki/Q148	Am�rique...	Am�rique	https://www.wikidata.org/wiki/Q828		mer Ionienne	https://www.wikidata.org/wiki/Q37495														
85.6	c																																			
85.7		mer M�diterran�e	mer Méditerranée	https://www.wikidata.org/wiki/Q4918																																
85.8		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
85.9																																				
86.1		Flandres	Flandre	https://www.wikidata.org/wiki/Q234	Pays-Bas	Pays-Bas	https://www.wikidata.org/wiki/Q476033	Espagne	Espagne	https://www.wikidata.org/wiki/Q29																										
86.10		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
86.11	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Italie	Italie	https://www.wikidata.org/wiki/Q38																													
86.12																																				
86.13																																				
86.14																																				
86.15	t	Londres	Londres	https://www.wikidata.org/wiki/Q84																																
86.16		religieuses	religieuses																																	
86.17	t?_MH	Londres	Londres	https://www.wikidata.org/wiki/Q84	Paris	Paris	https://www.wikidata.org/wiki/Q90	Dublin	Dublin	https://www.wikidata.org/wiki/Q1761	Am�rique	Am�rique	https://www.wikidata.org/wiki/Q828																							
86.18	[86.18]																																			
86.19																																				
86.2		France	France	https://www.wikidata.org/wiki/Q142																																
86.20																																				
86.21	c																																			
86.22																																				
86.23																																				
86.24	m																																			
86.25	m																																			
86.26																																				
86.27		Suisse	Suisse	https://www.wikidata.org/wiki/Q39																																
86.28	c																																			
86.29		France	France	https://www.wikidata.org/wiki/Q142	Indes orientales	Indes orientales	https://www.wikidata.org/wiki/Q213137																													
86.3	t																																			
86.30	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
86.31	m																																			
