P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
00.55		France (sous la Terreur)	France	https://www.wikidata.org/wiki/Q142																																
00.56																																				
00.57		France	France	https://www.wikidata.org/wiki/Q142																																
00.58		France (VIIIe si�cle)	France	https://www.wikidata.org/wiki/Q142																																
00.59	mt																																			
00.6																																				
00.60		Ecosse	�cosse	https://www.wikidata.org/wiki/Q22																																
00.61		Lesbos (cadre pastoral)	Lesbos	https://www.wikidata.org/wiki/Q128087																																
00.62		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
00.63		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
00.64		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
00.65		province (Vienne en Dauphin�	campagne	https://www.wikidata.org/wiki/Q175185		Vienne	https://www.wikidata.org/wiki/Q1741	Lyon	Lyon	https://www.wikidata.org/wiki/Q456	Auxerre	Auxerre	https://www.wikidata.org/wiki/Q167600																							
00.66		pays imaginaire	pays de fiction	https://www.wikidata.org/wiki/Q1145276																																
00.67																																				
00.68		Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
00.69																																				
00.7		France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
00.70	t	Italie	Italie	https://www.wikidata.org/wiki/Q38																																
00.71	nt																																			
00.71bis																																				
00.72		Sicile (XVIIe si�cle)	Sicile	https://www.wikidata.org/wiki/Q1460																																
00.73		Maroc (cour)	Maroc	https://www.wikidata.org/wiki/Q1028																																
00.74		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
00.75		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
00.76	t	France	France	https://www.wikidata.org/wiki/Q142	Italie (XVIe si�cle)	Italie	https://www.wikidata.org/wiki/Q38																													
00.77	mt																																			
00.78	nt																																			
00.79		Vend�e (Nantes au moment de la R�volution)	Vend�e	https://www.wikidata.org/wiki/Q12798		Nantes	https://www.wikidata.org/wiki/Q12191																													
00.8																																				
00.80																																				
00.81		Babylone	Babylone	https://www.wikidata.org/wiki/Q5684																																
00.82	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
00.83	t	Bengale	Bengale	https://www.wikidata.org/wiki/Q80338	Europe	Europe	https://www.wikidata.org/wiki/Q46																													
00.84	t	Italie (G�nes	Italie	https://www.wikidata.org/wiki/Q38		Gênes	https://www.wikidata.org/wiki/Q1449	Venise	Venise	https://www.wikidata.org/wiki/Q641																										
00.85	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Ecosse	Écosse	https://www.wikidata.org/wiki/Q22																													
00.86	t																																			
00.87		Maroc	Maroc	https://www.wikidata.org/wiki/Q1028	Alg�rie	Algérie	https://www.wikidata.org/wiki/Q262	Tunisie	Tunisie	https://www.wikidata.org/wiki/Q948	Egypte	�gypte	https://www.wikidata.org/wiki/Q79	Abyssinie	Abyssinie	https://www.wikidata.org/wiki/Q7007824	Arabie	Arabie	https://www.wikidata.org/wiki/Q31945	Mozambique	Mozambique	https://www.wikidata.org/wiki/Q1029	le Cap	le Cap	�le de Java...	Java	https://www.wikidata.org/wiki/Q3757									
00.88	nt																																			
00.89																																				
00.9		Paris	Paris	https://www.wikidata.org/wiki/Q90	province (14e si�cle)	campagne	https://www.wikidata.org/wiki/Q175185																													
00.90	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Italie	Italie	https://www.wikidata.org/wiki/Q38																													
00.91																																				
00.92																																				
00.92bis	t	Italie antique	Italie	https://www.wikidata.org/wiki/Q38																																
00.93		Italie; (Naples)	Italie	https://www.wikidata.org/wiki/Q38		Naples	https://www.wikidata.org/wiki/Q2634																													
00.94																																				
00.95		Paris	Paris	https://www.wikidata.org/wiki/Q90	Londres	Londres	https://www.wikidata.org/wiki/Q84	Rome	Rome	https://www.wikidata.org/wiki/Q220	Naples	Naples	https://www.wikidata.org/wiki/Q2634	Alexandrie	Alexandrie	https://www.wikidata.org/wiki/Q87	Constantinople	Constantinople	https://www.wikidata.org/wiki/Q16869																	
00.96		province (Poitou)	campagne	https://www.wikidata.org/wiki/Q175185		Poitou	https://www.wikidata.org/wiki/Q954076	Londres	Londres	https://www.wikidata.org/wiki/Q84																										
00.97	t?	province (Normandie	campagne	https://www.wikidata.org/wiki/Q175185		Normandie	https://www.wikidata.org/wiki/Q15878	Courville	Courville	https://www.wikidata.org/wiki/Q598449	Paris	Paris	https://www.wikidata.org/wiki/Q90																							
00.98		Pi�mont	Pi�mont	https://www.wikidata.org/wiki/Q1216																																
00.99	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142	Suisse	Suisse	https://www.wikidata.org/wiki/Q39	Italie	Italie	https://www.wikidata.org/wiki/Q38																							
51.1		province	campagne	https://www.wikidata.org/wiki/Q175185																																
51.10		Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41	Egypte	Égypte	https://www.wikidata.org/wiki/Q79																													
51.11		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
51.12		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
