"P13"		"P47"	"P55"	"P55RP14"
"update"				"Q1"
	"check item"	"minimale Korrekturen"	"neu: Mapping der Strings auf 7 Werte"	"stated in Q1"
"88.36"		"1re personne"	"autodiegetic"	
"88.55"		"1re personne"	"autodiegetic"	
"88.59"		"1re personne"	"autodiegetic"	
"88.83"		"1re personne"	"autodiegetic"	
"89.20"		"1re personne"	"autodiegetic"	
"89.21"		"1re personne"	"autodiegetic"	
"89.35"		"1re personne"	"autodiegetic"	
"89.47"	"t"	"1re personne"	"autodiegetic"	
"89.49bis"		"1re personne"	"autodiegetic"	
"89.53"		"1re personne"	"autodiegetic"	
"89.77"		"1re personne"	"autodiegetic"	
"89.90"		"1re personne"	"autodiegetic"	
"89.95"		"1re personne"	"autodiegetic"	
"90.25"		"1re personne"	"autodiegetic"	
"90.26"	"m"	"1re personne"	"autodiegetic"	
"90.3"	"t"	"1re personne"	"autodiegetic"	
"90.38"		"1re personne"	"autodiegetic"	
"90.55"		"1re personne"	"autodiegetic"	
"91.1"		"1re personne"	"autodiegetic"	
"91.24"		"1re personne"	"autodiegetic"	
"91.7"		"1re personne"	"autodiegetic"	
"91.8"		"1re personne"	"autodiegetic"	
"92.11"		"1re personne"	"autodiegetic"	
"93.1"		"1re personne"	"autodiegetic"	
"93.4"		"1re personne"	"autodiegetic"	
"95.14"		"1re personne"	"autodiegetic"	
"95.21"	"t"	"1re personne"	"autodiegetic"	
"95.23"	"t"	"1re personne"	"autodiegetic"	
"95.24"		"1re personne"	"autodiegetic"	
"95.27"	"n"	"1re personne"	"autodiegetic"	
"95.44"	"t"	"1re personne"	"autodiegetic"	
"95.6"	"t"	"1re personne"	"autodiegetic"	
"96.12"		"1re personne"	"autodiegetic"	
"96.26"	"t"	"1re personne"	"autodiegetic"	
"96.3"		"1re personne"	"autodiegetic"	
"96.32"		"1re personne"	"autodiegetic"	
"96.41"		"1re personne"	"autodiegetic"	
"96.5"		"1re personne"	"autodiegetic"	
"96.50"		"1re personne"	"autodiegetic"	
"96.55"	"t"	"1re personne"	"autodiegetic"	
"96.6"		"1re personne"	"autodiegetic"	
"97.16"		"1re personne"	"autodiegetic"	
"97.25"		"1re personne"	"autodiegetic"	
"97.43"		"1re personne"	"autodiegetic"	
"97.44"		"1re personne"	"autodiegetic"	
"97.5"	"m"	"1re personne"	"autodiegetic"	
"97.6"		"1re personne"	"autodiegetic"	
"97.61"		"1re personne"	"autodiegetic"	
"97.66"		"1re personne"	"autodiegetic"	
"98.14"		"1re personne"	"autodiegetic"	
"98.37"		"1re personne"	"autodiegetic"	
"98.49"	"t"	"1re personne"	"autodiegetic"	
"98.60"		"1re personne"	"autodiegetic"	
"98.62"		"1re personne"	"autodiegetic"	
"98.69"		"1re personne"	"autodiegetic"	
"98.86"	"t"	"1re personne"	"autodiegetic"	
"99.103"		"1re personne"	"autodiegetic"	
"99.120"		"1re personne"	"autodiegetic"	
"99.133"		"1re personne"	"autodiegetic"	
"99.141"		"1re personne"	"autodiegetic"	
"99.147"		"1re personne"	"autodiegetic"	
"99.148"		"1re personne"	"autodiegetic"	
"99.163"	"t"	"1re personne"	"autodiegetic"	
"99.168"	"t"	"1re personne"	"autodiegetic"	
"99.174"		"1re personne"	"autodiegetic"	
"99.177"	"t"	"1re personne"	"autodiegetic"	
"99.29"		"1re personne"	"autodiegetic"	
"99.41"	"t?"	"1re personne"	"autodiegetic"	
"99.50"		"1re personne"	"autodiegetic"	
"99.74"		"1re personne"	"autodiegetic"	
"99.83"		"1re personne"	"autodiegetic"	
"99.87"		"1re personne"	"autodiegetic"	
"99.89"		"1re personne"	"autodiegetic"	
"99.92"		"1re personne"	"autodiegetic"	
"59.13"		"1re personne (1er chapitre, réflexions du narrateur), puis 3e personne"	"mixed"	
"70.1"		"1re personne (autobiographie romancée)"	"autodiegetic"	
"77.1"		"1re personne (avec dialogues)"	"autodiegetic"	
"67.10"		"1re personne (confession d’un novice au père provincial d’un ordre religieux)"	"autodiegetic"	
"92.34"		"1re personne (Félicia raconte l’histoire de son neveu, Monrose), avec récits intercalés 1re personne"	"autodiegetic"	
"81.11"		"1re personne (journal)"	"autodiegetic"	
"53.6"	"nt"	"1re personne (le héros raconte sa vie aux Inquisiteurs)"	"autodiegetic"	
"88.94"		"1re personne (lettres)"	"mixed"	
"75.44"		"1re personne (mais ce n’est pas le personnage principal qui raconte l’histoire), avec dialogues"	"homodiegetic"	
"76.34"		"1re personne (mais ce n’est pas le personnage principal qui raconte), avec des lettres"	"homodiegetic"	
"51.26"	"t"	"1re personne (mais l’auteur ne joue pas un rôle dans l’histoire)"	"homodiegetic"	
"51.9"		"1re personne (mais le narrateur n’est pas le personnage principal)"	"homodiegetic"	
"63.4"		"1re personne (mais le narrateur n’est pas le personnage principal)"	"homodiegetic"	
"66.21"		"1re personne (mais le narrateur n’est pas le personnage principal), avec récits intercalés 1re personne"	"homodiegetic"	
"73.11"		"1re personne (mais le narrateur n’est pas le personnage principal), avec récits intercalés 1re personne"	"homodiegetic"	
"91.23"	"c_MH?"	"1re personne (mais le narrateur raconte aussi des aventures arrivées à d’autres personnages)"	"homodiegetic"	
"58.9"		"1re personne (mais le narrateur raconte souvent à la 3e personne)"	"homodiegetic"	
"89.9"	"t?"	"1re personne (mémoires d’une femme de chambre) avec récit intercalé 1re personne et des lettres"	"autodiegetic"	
"51.7"		"1re personne (mémoires dans une série de lettres)"	"mixed"	
"68.33"		"1re personne (mémoires découpés en lettres assez courtes), avec récit intercalé 1re personne"	"mixed"	
"89.5"		"1re personne (mémoires découpés en lettres)"	"mixed"	
"88.70"	"t"	"1re personne (mémoires découpés en lettres), avec récits intercalés 1re personne"	"mixed"	
"00.103"	"n"	"1re personne (mémoires)"	"autodiegetic"	
"00.138"		"1re personne (mémoires)"	"autodiegetic"	
"51.11"		"1re personne (mémoires)"	"autodiegetic"	
"51.17"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"52.3"		"1re personne (mémoires)"	"autodiegetic"	
"52.40"		"1re personne (mémoires)"	"autodiegetic"	
"54.1"		"1re personne (mémoires)"	"autodiegetic"	
"54.2"		"1re personne (mémoires)"	"autodiegetic"	
"63.32"		"1re personne (mémoires)"	"autodiegetic"	
"63.33"		"1re personne (mémoires)"	"autodiegetic"	
"63.38"		"1re personne (mémoires)"	"autodiegetic"	
"63.39"		"1re personne (mémoires)"	"autodiegetic"	
"64.10"		"1re personne (mémoires)"	"autodiegetic"	
"65.2"		"1re personne (mémoires)"	"autodiegetic"	
"65.42"		"1re personne (mémoires)"	"autodiegetic"	
"66.18"		"1re personne (mémoires)"	"autodiegetic"	
"68.21"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"68.25"		"1re personne (mémoires)"	"autodiegetic"	
"69.31"		"1re personne (mémoires)"	"autodiegetic"	
"69.41"		"1re personne (mémoires)"	"autodiegetic"	
"69.47"		"1re personne (mémoires)"	"autodiegetic"	
"69.56"		"1re personne (mémoires)"	"autodiegetic"	
"69.72"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"70.14"		"1re personne (mémoires)"	"autodiegetic"	
"73.14"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"73.7"		"1re personne (mémoires)"	"autodiegetic"	
"76.52"		"1re personne (mémoires)"	"autodiegetic"	
"77.35"		"1re personne (mémoires)"	"autodiegetic"	
"78.11"		"1re personne (mémoires)"	"autodiegetic"	
"78.20"		"1re personne (mémoires)"	"autodiegetic"	
"79.14"		"1re personne (mémoires)"	"autodiegetic"	
"79.28"		"1re personne (mémoires)"	"autodiegetic"	
"80.15"		"1re personne (mémoires)"	"autodiegetic"	
"82.3"		"1re personne (mémoires)"	"autodiegetic"	
"82.36"		"1re personne (mémoires)"	"autodiegetic"	
"86.40"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"88.11"		"1re personne (mémoires)"	"autodiegetic"	
"88.68"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"88.78"		"1re personne (mémoires)"	"autodiegetic"	
"88.84"		"1re personne (mémoires)"	"autodiegetic"	
"88.96"		"1re personne (mémoires)"	"autodiegetic"	
"89.33"	"?"	"1re personne (mémoires)"	"autodiegetic"	
"89.54"		"1re personne (mémoires)"	"autodiegetic"	
"89.80"	"t"	"1re personne (mémoires)"	"autodiegetic"	
"90.7"		"1re personne (mémoires)"	"autodiegetic"	
"91.17"		"1re personne (mémoires)"	"autodiegetic"	
"99.39"		"1re personne (mémoires)"	"autodiegetic"	
"99.65"		"1re personne (mémoires)"	"autodiegetic"	
"62.20"		"1re personne (mémoires) avec des lettres, interrompues par un commentaire"	"autodiegetic"	
"64.20"		"1re personne (mémoires), avec beaucoup de narration à la 3e personne"	"autodiegetic"	
"63.40"		"1re personne (mémoires), avec de très longs récits intercalés"	"autodiegetic"	
"89.57"		"1re personne (mémoires), avec des lettres"	"autodiegetic"	
"88.72"	"t"	"1re personne (mémoires), avec des récits intercalés 1re personne"	"autodiegetic"	
"70.10"	"t"	"1re personne (mémoires), avec introduction et conclusion en lettres"	"autodiegetic"	
"70.29"		"1re personne (mémoires), avec quelques lettres et un long conte oriental intercalé 1re personne (Zizime ou le grand sultan)"	"autodiegetic"	
"62.6"		"1re personne (mémoires), avec récit intercalé 1re personne"	"autodiegetic"	
"64.24"		"1re personne (mémoires), avec récit intercalé 1re personne"	"autodiegetic"	
"66.31"		"1re personne (mémoires), avec récit intercalé 1re personne"	"autodiegetic"	
"67.51"		"1re personne (mémoires), avec récits des personnages"	"autodiegetic"	
"55.3."		"1re personne (mémoires), avec récits intercalés"	"autodiegetic"	
"68.30"		"1re personne (mémoires), avec récits intercalés"	"autodiegetic"	
"68.35"		"1re personne (mémoires), avec récits intercalés 1re et 3e personnes"	"autodiegetic"	
"62.32"		"1re personne (mémoires), avec récits intercalés 1re personne"	"autodiegetic"	
"64.1"		"1re personne (mémoires), avec récits intercalés 1re personne"	"autodiegetic"	
"68.29"		"1re personne (mémoires), avec récits intercalés 1re personne"	"autodiegetic"	
"68.47"		"1re personne (mémoires), avec récits intercalés 1re personne"	"autodiegetic"	
"69.29"		"1re personne (mémoires), avec récits intercalés 1re personne"	"autodiegetic"	
"65.25"		"1re personne (mémoires), avec récits intercalés des personnages"	"autodiegetic"	
"60.28"		"1re personne (mémoires), avec une série de récits racontés au héros"	"autodiegetic"	
"68.6"	"t"	"1re personne (narration découpée en lettres)"	"mixed"	
"70.32"		"1re personne (narration entremêlée de quelques poésies)"	"autodiegetic"	
"60.1"		"1re personne (Palissot)"	"autodiegetic"	
"89.78"		"1re personne (rêve)"	"autodiegetic"	
"70.43"		"1re personne (Sylvie)"	"autodiegetic"	
"70.26"		"1re personne (un journal écrit au jour le jour pour une amie)"	"mixed"	
"68.44"		"1re personne (une amie de l’héroïne), avec récit intercalé 1re personne (par l’héroïne) et une deuxième partie sous forme de lettres"	"homodiegetic"	
"55.10"		"1re personne avec des anecdotes 3e personne"	"autodiegetic"	
"53.17"		"1re personne avec des histoires intercalées"	"autodiegetic"	
"98.76"		"1re personne avec des récits intercalés 1re personne"	"autodiegetic"	
"89.26"		"1re personne avec quelques lettres"	"autodiegetic"	
"54.15"	"t"	"1re personne avec quelques lettres et des récits 1re personne"	"autodiegetic"	
"52.13"		"1re personne avec quelques lettres et deux récits intercalés"	"autodiegetic"	
"54.16"		"1re personne avec quelques lettres turques à la fin"	"autodiegetic"	
"52.42"		"1re personne avec récits intercalés"	"autodiegetic"	
"53.24"		"1re personne avec récits intercalés"	"autodiegetic"	
"51.13"		"1re personne avec récits intercalés 1re personne"	"autodiegetic"	
"54.20"		"1re personne avec récits intercalés 1re personne"	"autodiegetic"	
"55.19"		"1re personne avec récits intercalés 1re personne"	"autodiegetic"	
"55.22"		"1re personne avec récits intercalés 1re personne"	"autodiegetic"	
"62.24"	"t"	"1re personne avec récits intercalés 1re personne"	"autodiegetic"	
"89.1"	"t?"	"1re personne avec récits intercalés 1re personne"	"autodiegetic"	
"55.35"		"1re personne avec récits intercalés 3e personne"	"autodiegetic"	
"64.6"		"1re personne avec un court récit intercalé 1re personne"	"autodiegetic"	
"59.1"		"1re personne avec un récit intercalé 1re personne"	"autodiegetic"	
