				P31	P59	P65	FR	EN	DE						P25	P2	P2RP14
			Q12548	https://www.wikidata.org/wiki/Q12548			Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	DEL	exact match						
			Q12585	https://www.wikidata.org/wiki/Q12585		-1.106889,-68.097391	Amérique latine	Latin America	Lateinamerika	DEL	exact match						
			Q126148	https://www.wikidata.org/wiki/Q126148		35.776666666666664,-5.803888888888888	Tanger	Tangier	Tanger								
			Q126898	https://www.wikidata.org/wiki/Q126898		43.58,7.1230555555556	Antibes	Antibes	Antibes								
			Q12745	https://www.wikidata.org/wiki/Q12745		45.583333333333,6.3333333333333	Savoie	Savoie	Savoie								
			Q127834	https://www.wikidata.org/wiki/Q127834			Nouveau Monde	New World	Neue Welt								
			Q12798	https://www.wikidata.org/wiki/Q12798		46.670556,-1.426667	Vendée	Vendée	Département Vendée								
			Q128087	https://www.wikidata.org/wiki/Q128087		39.21,26.28	Lesbos	Lesbos	Lesbos								
			Q12824780	https://www.wikidata.org/wiki/Q12824780		39,34	Asie mineure	Asia Minor	Kleinasien								
			Q1286	https://www.wikidata.org/wiki/Q1286		46,1	Alpes	Alps	Alpen								
			Q1289	https://www.wikidata.org/wiki/Q1289		45.186944444444,5.7263888888889	Grenoble	Grenoble	Grenoble								
			Q12892	https://www.wikidata.org/wiki/Q12892		51.221111111111114,4.3997222222222225	Anvers	Antwerp	Antwerpen								
			Q129072	https://www.wikidata.org/wiki/Q129072		29.934444444444,52.891388888889	Persépolis	Persepolis	Persepolis								
			Q130272	https://www.wikidata.org/wiki/Q130272		48.446666666667,1.4883333333333	Chartres	Chartres	Chartres								
			Q131329	https://www.wikidata.org/wiki/Q131329		50.289166666667,2.78	Arras	Arras	Arras								
			Q131792	https://www.wikidata.org/wiki/Q131792		8.56,-60.5	Orénoque	Orinoco	Orinoco								
			Q131802	https://www.wikidata.org/wiki/Q131802			Scythes	Scythians	Skythen								
			Q132646	https://www.wikidata.org/wiki/Q132646		36.758056,66.898889	Bactriane	Bactria	Baktrien								
			Q1344	https://www.wikidata.org/wiki/Q1344			opéra	opera	Oper	DEL	exact match						
			Q1345	https://www.wikidata.org/wiki/Q1345		39.952777777778,-75.163611111111	Philadelphie	Philadelphia	Philadelphia								
			Q1364465	https://www.wikidata.org/wiki/Q1364465		45.912777777778,4.6541666666667	Alix	Alix	Alix								
			Q13670	https://www.wikidata.org/wiki/Q13670		37.069166666667,15.2875	Syracuse	Syracuse	Syrakus								
			Q1370	https://www.wikidata.org/wiki/Q1370		37.5,-79	Virginie	Virginia	Virginia								
			Q1379299	https://www.wikidata.org/wiki/Q1379299		38.423889,27.142778	Smyrne	Smyrna									
			Q1391	https://www.wikidata.org/wiki/Q1391		39,-76.7	Maryland	Maryland	Maryland								
			Q13917	https://www.wikidata.org/wiki/Q13917		48.8522,2.3176	Île-de-France	Île-de-France	Île-de-France								
			Q13950	https://www.wikidata.org/wiki/Q13950		49.5,2.8333333333333	Picardie	Picardy	Picardie								
			Q1408764	https://www.wikidata.org/wiki/Q1408764		43.585278,39.720278	Circassie	Circassia	Tscherkessien								
			Q14112	https://www.wikidata.org/wiki/Q14112		42.15,9.0833333333333	Corse	Corsica	Korsika								
			Q14118	https://www.wikidata.org/wiki/Q14118		45.57,5.9118	Savoie	Savoy	Savoyen								
			Q142	https://www.wikidata.org/wiki/Q142		47,2	France	France	Frankreich	BGRF/DEL	exact match						
			Q14201393	https://www.wikidata.org/wiki/Q14201393		49.95122,1.779785	Nord de la France	Northern France									
			Q14294	https://www.wikidata.org/wiki/Q14294		40.3197,-1.6975	Tage	Tagus river	Tajo								
			Q14323	https://www.wikidata.org/wiki/Q14323		38.915833333333,-6.3333333333333	Mérida	Mérida	Mérida								
			Q144880	https://www.wikidata.org/wiki/Q144880		37.8,20.75	Zante	Zakynthos	Zakynthos								
			Q1449	https://www.wikidata.org/wiki/Q1449		44.407186111111,8.9339833333333	Gênes	Genoa	Genua								
			Q145	https://www.wikidata.org/wiki/Q145		54.6,-2	Royaume-Uni	United Kingdom	Vereinigtes Königreich								
			Q1458	https://www.wikidata.org/wiki/Q1458		39,16.5	Calabre	Calabria	Kalabrien								
			Q1460	https://www.wikidata.org/wiki/Q1460		37.599958333333,14.015377777778	Sicile	Sicily	Autonome Region Sizilien								
			Q1469	https://www.wikidata.org/wiki/Q1469		44.841666666667,4.2186111111111	Loire	Loire	Loire								
			Q1471	https://www.wikidata.org/wiki/Q1471		49.434722222222,0.1175	Seine	Seine	Seine								
			Q1479	https://www.wikidata.org/wiki/Q1479		44.837777777778,-0.57944444444444	Bordeaux	Bordeaux	Bordeaux								
			Q148	https://www.wikidata.org/wiki/Q148		35.844722222222224,103.45194444444445	République populaire de Chine	People's Republic of China	Volksrepublik China								
			Q1486	https://www.wikidata.org/wiki/Q1486		-34.599722222222,-58.381944444444	Buenos Aires	Buenos Aires	Buenos Aires								
			Q15	https://www.wikidata.org/wiki/Q15		21.09375,7.1881	Afrique	Africa	Afrika								
			Q150907	https://www.wikidata.org/wiki/Q150907		49.816,10.865	Franconie	Franconia	Franken								
			Q151999	https://www.wikidata.org/wiki/Q151999		45.383333333333,5.7333333333333	Dauphiné	Dauphiné	Dauphiné								
			Q1524	https://www.wikidata.org/wiki/Q1524		37.98416666666667,23.728055555555557	Athènes	Athens	Athen								
			Q1530	https://www.wikidata.org/wiki/Q1530		33.35,44.416666666667	Bagdad	Baghdad	Bagdad								
			Q153562	https://www.wikidata.org/wiki/Q153562			opéra	opera house	Opernhaus								
			Q15476	https://www.wikidata.org/wiki/Q15476		42.666666666667,2.8166666666667	Roussillon	Rosselló	Rosselló								
			Q15682	https://www.wikidata.org/wiki/Q15682		36.535,-6.2975	Cadix	Cádiz	Cádiz								
			Q15878	https://www.wikidata.org/wiki/Q15878		49.12233911111111,-0.43664430555555556	Normandie	Normandy	Normandie								
			Q159	https://www.wikidata.org/wiki/Q159		66.41666666666667,94.25	Russie	Russia	Russland	DEL	exact match						
			Q16	https://www.wikidata.org/wiki/Q16		56,-109	Canada	Canada	Kanada								
			Q163108	https://www.wikidata.org/wiki/Q163108		48.647222222222,-2.0088888888889	Saint-Malo	Saint-Malo	Saint-Malo								
			Q165090	https://www.wikidata.org/wiki/Q165090		45.566388888889,5.9208333333333	Chambéry	Chambéry	Chambéry								
			Q1653	https://www.wikidata.org/wiki/Q1653		45.221944444444446,29.743333333333332	Danube	Danube	Donau								
			Q16560	https://www.wikidata.org/wiki/Q16560			palais	palace	Palast								
			Q16572	https://www.wikidata.org/wiki/Q16572		23.128795,113.258976	Canton	Guangzhou	Guangzhou								
			Q166131	https://www.wikidata.org/wiki/Q166131		18.2176,-67.8639	Antilles	Antilles	Antillen								
			Q166919	https://www.wikidata.org/wiki/Q166919		39.6,22.2	Thessalie	Thessalia	Thessalien								
			Q167600	https://www.wikidata.org/wiki/Q167600		47.7975,3.5669444444444	Auxerre	Auxerre	Auxerre								
			Q168159	https://www.wikidata.org/wiki/Q168159		53.293975,-4.376728	Anglesey	Anglesey	Anglesey								
			Q16869	https://www.wikidata.org/wiki/Q16869		41.01224,28.976018	Constantinople	Constantinople	Konstantinopel								
			Q16917	https://www.wikidata.org/wiki/Q16917			hôpital	hospital	Krankenhaus	DEL	exact match						
			Q169460	https://www.wikidata.org/wiki/Q169460		37.531111,27.275556	Milet	Miletus	Milet								
			Q17	https://www.wikidata.org/wiki/Q17		35,136	Japon	Japan	Japan	DEL	exact match						
			Q17054	https://www.wikidata.org/wiki/Q17054		14.65,-61.015	Martinique	Martinique	Martinique								
			Q1716449	https://www.wikidata.org/wiki/Q1716449			Royaume houéda	Kingdom of Whydah	Sahé								
			Q173063	https://www.wikidata.org/wiki/Q173063		42.35,-3.81666667	Castille	Castile	Kastilien								
			Q1741	https://www.wikidata.org/wiki/Q1741		48.20833,16.373064	Vienne	Vienna	Wien								
			Q1747689	https://www.wikidata.org/wiki/Q1747689		41.89,12.48	Rome antique	Ancient Rome	Römisches Reich								
			Q1748	https://www.wikidata.org/wiki/Q1748		55.676111111111,12.568888888889	Copenhague	Copenhagen	Kopenhagen								
			Q175185	https://www.wikidata.org/wiki/Q175185			campagne	rural area	ländlicher Raum								
			Q1761	https://www.wikidata.org/wiki/Q1761		53.34972222222222,-6.260277777777778	Dublin	Dublin	Dublin								
			Q178611	https://www.wikidata.org/wiki/Q178611		47.2431,6.0219	Jura	Jura Mountains	Jura								
			Q1794	https://www.wikidata.org/wiki/Q1794		50.113611111111,8.6797222222222	Francfort-sur-le-Main	Frankfurt	Frankfurt am Main								
			Q18	https://www.wikidata.org/wiki/Q18		-21,-59	Amérique du Sud	South America	Südamerika	Seklit.	exact match						
			Q180871	https://www.wikidata.org/wiki/Q180871		49.414166666667,2.8222222222222	Compiègne	Compiègne	Compiègne								
			Q180918	https://www.wikidata.org/wiki/Q180918		34.77612852,32.42651039	Paphos	Paphos	Paphos								
			Q18097	https://www.wikidata.org/wiki/Q18097		38.316666666667,127.23333333333	Corée	Korea	Korea								
			Q181269	https://www.wikidata.org/wiki/Q181269		48.429722222222,0.091944444444444	Alençon	Alençon	Alençon								
			Q182872	https://www.wikidata.org/wiki/Q182872		48.408888888889,2.7016666666667	Fontainebleau	Fontainebleau	Fontainebleau								
			Q183	https://www.wikidata.org/wiki/Q183		51,1	Allemagne	Germany	Deutschland	DEL	exact match						
			Q183464	https://www.wikidata.org/wiki/Q183464		57.862234,25.967155	Livonie	Livonia	Livland								
			Q189059	https://www.wikidata.org/wiki/Q189059		39.103611111111,26.533055555556	Mytilène	Mytilene	Mytilini								
			Q1891	https://www.wikidata.org/wiki/Q1891		44.493888888889,11.342777777778	Bologne	Bologna	Bologna								
			Q189153	https://www.wikidata.org/wiki/Q189153		48.846388888889,2.2152777777778	Saint-Cloud	Saint-Cloud	Saint-Cloud								
			Q19232000	https://www.wikidata.org/wiki/Q19232000			Silvérie										
			Q193	https://www.wikidata.org/wiki/Q193			Saturne	Saturn	Saturn								
			Q193821	https://www.wikidata.org/wiki/Q193821		47.259166666667,-0.078055555555556	Saumur	Saumur	Saumur								
			Q193929	https://www.wikidata.org/wiki/Q193929		48.871111111111,2.2269444444444	Suresnes	Suresnes	Suresnes								
			Q194138	https://www.wikidata.org/wiki/Q194138		47.166944444444,0.24277777777778	Chinon	Chinon	Chinon								
			Q2	https://www.wikidata.org/wiki/Q2			Terre	Earth	Erde	DEL	exact match						
			Q20	https://www.wikidata.org/wiki/Q20		65,11	Norvège	Norway	Norwegen								
			Q202378	https://www.wikidata.org/wiki/Q202378		48.455277777778,-5.0975	Ouessant	Ushant	Ouessant								
			Q20306954	https://www.wikidata.org/wiki/Q20306954		16.139722222222,43.151944444444	Samarah	Samarah	Samarah								
			Q2044	https://www.wikidata.org/wiki/Q2044		43.771388888889,11.254166666667	Florence	Florence	Florenz								
			Q205057	https://www.wikidata.org/wiki/Q205057		-13.26,-72.11	Cuzco	Cusco Departament	Cusco								
			Q205653	https://www.wikidata.org/wiki/Q205653			Orient	Orient	Orient	BGRF/DEL	exact match						
			Q206221	https://www.wikidata.org/wiki/Q206221		43.666666666667,3.1666666666667	Languedoc	Languedoc	Languedoc								
			Q2072285	https://www.wikidata.org/wiki/Q2072285			atelier d'artiste	atelier	Atelier	DEL	exact match						
			Q207239	https://www.wikidata.org/wiki/Q207239		36.2575,22.9975	Cythère	Kythira	Kythira								
			Q2079	https://www.wikidata.org/wiki/Q2079		51.333333333333,12.383333333333	Leipzig	Leipzig	Leipzig								
			Q209626	https://www.wikidata.org/wiki/Q209626		48.864722222222,2.2508333333333	bois de Boulogne	Bois de Boulogne	Bois de Boulogne								
			Q21	https://www.wikidata.org/wiki/Q21		53,-1	Angleterre	England	England	BGRF/DEL	exact match						
			Q210672	https://www.wikidata.org/wiki/Q210672		48.653611111111,5.1855555555556	Stainville	Stainville	Stainville								
			Q21144570	https://www.wikidata.org/wiki/Q21144570			Hortence	Hortence	Hortence								
			Q2119	https://www.wikidata.org/wiki/Q2119		49.48777777777778,8.466111111111111	Mannheim	Mannheim	Mannheim								
			Q212420	https://www.wikidata.org/wiki/Q212420		48.197222222222,3.2833333333333	Sens	Sens	Sens								
			Q213137	https://www.wikidata.org/wiki/Q213137		1,103	Indes orientales	East Indies									
			Q213763	https://www.wikidata.org/wiki/Q213763		43.3,-0.366667	Béarn	Béarn	Béarn								
			Q214362	https://www.wikidata.org/wiki/Q214362		47.933888888889,3.2419444444444	Saint-Romain-le-Preux	Saint-Romain-le-Preux	Saint-Romain-le-Preux								
			Q21476034	https://www.wikidata.org/wiki/Q21476034		-62.45,-60.8	Chica	Chica	Playa Chica								
			Q217293	https://www.wikidata.org/wiki/Q217293		49.285,5.2380555555556	Gercourt-et-Drillancourt	Gercourt-et-Drillancourt	Gercourt-et-Drillancourt								
			Q219	https://www.wikidata.org/wiki/Q219		42.75,25.5	Bulgarie	Bulgaria	Bulgarien								
			Q22	https://www.wikidata.org/wiki/Q22		57,-5	Écosse	Scotland	Schottland	DEL	exact match						
			Q220	https://www.wikidata.org/wiki/Q220		41.893055555556,12.482777777778	Rome	Rome	Rom								
			Q22698	https://www.wikidata.org/wiki/Q22698			parc	park	Park								
			Q22889	https://www.wikidata.org/wiki/Q22889		51.381389,-2.358611	Bath	Bath	Bath								
			Q229	https://www.wikidata.org/wiki/Q229		35,33	Chypre	Cyprus	Republik Zypern								
			Q230	https://www.wikidata.org/wiki/Q230		42.016669444444,43.733330555556	Géorgie	Georgia	Georgien								
			Q23148	https://www.wikidata.org/wiki/Q23148		50.3,-4.9	Cornouailles	Cornwall	Cornwall								
			Q23154	https://www.wikidata.org/wiki/Q23154		51.45,-2.5833333333333	Bristol	Bristol	Bristol								
			Q23298	https://www.wikidata.org/wiki/Q23298		51.19,0.73	Kent	Kent	Kent								
			Q234	https://www.wikidata.org/wiki/Q234		51,4.5	Flandre	Flanders	Flandern								
			Q234081	https://www.wikidata.org/wiki/Q234081			Ancien Régime	Ancien Régime	Ancien Régime	Seklit	exact match						
			Q23442	https://www.wikidata.org/wiki/Q23442			île	island	Insel	DEL	exact match						
			Q23482	https://www.wikidata.org/wiki/Q23482		43.296666666667,5.3763888888889	Marseille	Marseille	Marseille								
Balkans	Balkans	Balkan	Q23522		https://www.wikidata.org/wiki/Q23522	42,22	Balkans	Balkans	Balkanhalbinsel	DEL	close match						
			Q23663811	https://www.wikidata.org/wiki/Q23663811		6.0666666666667,14.316666666667	Tibéré	Tibéré									
			Q237131	https://www.wikidata.org/wiki/Q237131			France au Moyen Âge	France in the Middle Ages	Frankreich im Mittelalter								
			Q23792	https://www.wikidata.org/wiki/Q23792		31.625321,35.145264	Palestine	Palestine	Palästina								
			Q239	https://www.wikidata.org/wiki/Q239		50.846666666666664,4.351666666666667	Bruxelles	City of Brussels	Brüssel								
			Q241	https://www.wikidata.org/wiki/Q241		22,-79.5	Cuba	Cuba	Kuba								
			Q2478280	https://www.wikidata.org/wiki/Q2478280		27.1,56.45	Ormuz	Ormus	Ormus (Reich)								
			Q25	https://www.wikidata.org/wiki/Q25		52.35,-3.6333333333333	pays de Galles	Wales	Wales								
			Q25277	https://www.wikidata.org/wiki/Q25277		19,-71	Hispaniola	Hispaniola	Hispaniola								
			Q258540	https://www.wikidata.org/wiki/Q258540		39.872778,22.546667	vallée de Tempé	Vale of Tempe	Tempe								
			Q262	https://www.wikidata.org/wiki/Q262		28,1	Algérie	Algeria	Algerien								
			Q26253	https://www.wikidata.org/wiki/Q26253		32.75,-17	Madère	Madeira	Autonome Region Madeira								
			Q2634	https://www.wikidata.org/wiki/Q2634		40.833333333333,14.25	Naples	Naples	Neapel								
			Q2656	https://www.wikidata.org/wiki/Q2656		38.115658,13.361262	Palerme	Palermo	Palermo								
			Q26915	https://www.wikidata.org/wiki/Q26915		38.5,22.25	Phocide	Phocis Prefecture	Fokida								
			Q27	https://www.wikidata.org/wiki/Q27		53,-8	Irlande	Ireland	Irland								
			Q270	https://www.wikidata.org/wiki/Q270		52.216666666667,21.033333333333	Varsovie	Warsaw	Warschau								
			Q27275	https://www.wikidata.org/wiki/Q27275		45.3,63.9	Asie centrale	Central Asia	Zentralasien								
			Q27381	https://www.wikidata.org/wiki/Q27381		30.440741666667,9.6817138888889	Afrique du Nord	North Africa	Nordafrika								
			Q2742	https://www.wikidata.org/wiki/Q2742		51.9625,7.6255555555556	Münster	Münster	Münster								
			Q279	https://www.wikidata.org/wiki/Q279		44.64582,10.92572	Modène	Modena	Modena								
			Q28	https://www.wikidata.org/wiki/Q28		47,19	Hongrie	Hungary	Ungarn	DEL	exact match						
			Q2807	https://www.wikidata.org/wiki/Q2807		40.418888888889,-3.6919444444444	Madrid	Madrid	Madrid								
			Q2826196	https://www.wikidata.org/wiki/Q2826196		21.09375,7.1881	Afrique	Afrique	Afrique	DEL	exact match						
			Q288	https://www.wikidata.org/wiki/Q288		47.392777777778,0.68833333333333	Tours	Tours	Tours								
			Q288514	https://www.wikidata.org/wiki/Q288514			foire	fair	Jahrmarkt	DEL	exact match						
			Q29	https://www.wikidata.org/wiki/Q29		40.2,-3.5	Espagne	Spain	Spanien	BGRF/DEL	exact match						
			Q2946	https://www.wikidata.org/wiki/Q2946		48.804805555556,2.1203333333333	château de Versailles	Palace of Versailles	Schloss Versailles								
			Q29520	https://www.wikidata.org/wiki/Q29520		35,105	Chine	China	China	DEL	exact match						
			Q30	https://www.wikidata.org/wiki/Q30		39.828175,-98.5795	États-Unis	United States of America	Vereinigte Staaten								
			Q30022	https://www.wikidata.org/wiki/Q30022			café	coffeehouse	Café	DEL	exact match						
			Q301276	https://www.wikidata.org/wiki/Q301276			vestibule	vestibule	Vestibül								
			Q3034560	https://www.wikidata.org/wiki/Q3034560		49.123055555556,1.7058333333333	domaine de Villarceaux	Domaine of Villarceaux	Domaine de Villarceaux								
			Q3051218	https://www.wikidata.org/wiki/Q3051218		50.75,3.99	Pagus de Brabant	Brabant	Brabant								
			Q308	https://www.wikidata.org/wiki/Q308			Mercure	Mercury	Merkur								
			Q30974	https://www.wikidata.org/wiki/Q30974		49.443055555556,1.1025	Rouen	Rouen	Rouen								
			Q313	https://www.wikidata.org/wiki/Q313			Vénus	Venus	Venus								
			Q319	https://www.wikidata.org/wiki/Q319			Jupiter	Jupiter	Jupiter								
			Q31945	https://www.wikidata.org/wiki/Q31945		23,46	Arabie	Arabian Peninsula	Arabische Halbinsel								
			Q326339	https://www.wikidata.org/wiki/Q326339		41.01666667,29.01666667	Üsküdar	Üsküdar	Üsküdar								
			Q327	https://www.wikidata.org/wiki/Q327		48,-3	Bretagne	Brittany	Bretagne								
			Q329948	https://www.wikidata.org/wiki/Q329948		48.863333333333,2.3369444444444	Palais-Royal	Palais-Royal	Palais-Royal								
			Q33506	https://www.wikidata.org/wiki/Q33506			musée	museum	Museum	DEL	exact match						
			Q3363340	https://www.wikidata.org/wiki/Q3363340			paradis	paradise	Paradies	Seklit	exact match						
			Q34	https://www.wikidata.org/wiki/Q34		61,15	Suède	Sweden	Schweden	DEL	exact match						
			Q3404008	https://www.wikidata.org/wiki/Q3404008			civilisation inca	Inca civilization	Inka								
			Q3409	https://www.wikidata.org/wiki/Q3409			Sirius	Sirius	Sirius								
			Q34370	https://www.wikidata.org/wiki/Q34370		51.9225,4.47917	Rotterdam	Rotterdam	Rotterdam								
			Q34374	https://www.wikidata.org/wiki/Q34374		35.309722222222,24.893333333333	Crète	Crete	Kreta								
			Q34820	https://www.wikidata.org/wiki/Q34820		18.476388888889,-69.893333333333	Saint-Domingue	Santo Domingo	Santo Domingo								
			Q35	https://www.wikidata.org/wiki/Q35		56,1	Danemark	Denmark	Dänemark	DEL	exact match						
			Q350	https://www.wikidata.org/wiki/Q350		52.208055555556,0.1225	Cambridge	Cambridge	Cambridge								
			Q35381	https://www.wikidata.org/wiki/Q35381		6.9166666666667,79.833333333333	Colombo	Colombo	Colombo								
			Q3542	https://www.wikidata.org/wiki/Q3542		9.0822,-10.7233	Niger	Niger River	Niger								
grotte	cave	Höhle	Q35509		https://www.wikidata.org/wiki/Q35509					BGRF	close match						
			Q3561	https://www.wikidata.org/wiki/Q3561		36.776388888889,3.0586111111111	Alger	Algiers	Algier								
			Q3572	https://www.wikidata.org/wiki/Q3572		36.800833333333,10.18	Tunis	Tunis	Tunis								
			Q357201	https://www.wikidata.org/wiki/Q357201			Bourgogne	Burgundy	Burgund								
			Q3576516	https://www.wikidata.org/wiki/Q3576516			Zéphyre	Zéphire									
			Q36	https://www.wikidata.org/wiki/Q36		52,19	Pologne	Poland	Polen	DEL	exact match						
			Q365	https://www.wikidata.org/wiki/Q365		50.942222222222,6.9577777777778	Cologne	Cologne	Köln								
			Q36600	https://www.wikidata.org/wiki/Q36600		52.08,4.31	La Haye	The Hague	Den Haag								
Erford							Erford										
			Q369188	https://www.wikidata.org/wiki/Q369188		46.1075,6.5913888888889	Taninges	Taninges	Taninges								
			Q3711	https://www.wikidata.org/wiki/Q3711		44.816666666667,20.466666666667	Belgrade	Belgrade	Belgrad								
			Q37180	https://www.wikidata.org/wiki/Q37180		47.043333333333,3.3916666666667	Saint-Firmin	Saint-Firmin	Saint-Firmin								
			Q3746183	https://www.wikidata.org/wiki/Q3746183		30,52	Perse	Persis	Persis								
			Q37495	https://www.wikidata.org/wiki/Q37495		38,19	mer Ionienne	Ionian Sea	Ionisches Meer								
			Q3757	https://www.wikidata.org/wiki/Q3757		-7.4916666666667,110.00444444444	Java	Java	Java								
			Q3766	https://www.wikidata.org/wiki/Q3766		33.513055555556,36.291944444444	Damas	Damascus	Damaskus								
			Q37776	https://www.wikidata.org/wiki/Q37776		47.242222222222,6.0213888888889	Besançon	Besançon	Besançon								
			Q38	https://www.wikidata.org/wiki/Q38		42.5,12.5	Italie	Italy	Italien	DEL	exact match						
			Q38060	https://www.wikidata.org/wiki/Q38060		46.5,2.9	Gaule	Gaul	Gallien								
			Q3852	https://www.wikidata.org/wiki/Q3852		49.631944444444,8.3652777777778	Worms	Worms	Worms								
			Q3863033	https://www.wikidata.org/wiki/Q3863033			Morlaquie	Morlachia									
			Q38872	https://www.wikidata.org/wiki/Q38872			Prusse	Prussia	Preußen								
lieu imaginaire	imaginary place	imaginärer Ort	Q3895768		https://www.wikidata.org/wiki/Q3895768					BGRF	close match						
			Q39	https://www.wikidata.org/wiki/Q39		46.798562,8.231973	Suisse	Switzerland	Schweiz	DEL	exact match						
			Q39193	https://www.wikidata.org/wiki/Q39193		49.833333333333,14.333333333333	Bohême	Bohemia	Böhmen								
			Q39865	https://www.wikidata.org/wiki/Q39865		50.5,5.8666666666667	Spa	Spa	Spa								
			Q399	https://www.wikidata.org/wiki/Q399		40.383333,44.95	Arménie	Armenia	Armenien								
			Q3992	https://www.wikidata.org/wiki/Q3992		50.639722222222225,5.570555555555556	Liège	Liège	Lüttich								
			Q40	https://www.wikidata.org/wiki/Q40		48,14	Autriche	Austria	Österreich								
			Q403366	https://www.wikidata.org/wiki/Q403366			Ééa	Aeaea	Aiaia								
